,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
VFOAdam_PF_02_Accuracy,0.8024,0.837,0.85,0.8642,0.8714,0.8705,0.8798,0.8819,0.8856,0.8815,0.8859,0.8911,0.8888,0.8877,0.8815,0.8829,0.8906,0.8895,0.892,0.8884,0.8875,0.8863,0.8928,0.8955,0.8902,0.8921,0.8957,0.895,0.8897,0.8907,0.883,0.8928,0.8931,0.8928,0.8921,0.8904,0.889,0.8915,0.8919,0.8888,0.8876,0.8871,0.8862,0.8908,0.8855,0.888,0.8897,0.8917,0.8832,0.8892,0.8895,0.8845,0.8877,0.8882,0.8869,0.8899,0.8891,0.8813,0.8891,0.8849,0.8887,0.8851,0.8889,0.8877,0.8852,0.8837,0.8856,0.8836,0.8873,0.8832,0.8846,0.8855,0.8858,0.8834,0.8846,0.8855,0.885,0.8872,0.8823,0.8845,0.8802,0.8884,0.8861,0.8902,0.8864,0.883,0.8837,0.8842,0.8816,0.8856,0.8803,0.8857,0.8813,0.8852,0.8839,0.8859,0.8866,0.8852,0.887,0.8866,0.8849,0.8859,0.8871,0.885,0.8804,0.8807,0.8771,0.8843,0.8825,0.8837,0.8841,0.8825,0.8857,0.8869,0.8842,0.8857,0.8831,0.8842,0.8776,0.884,0.8836,0.8817,0.8848,0.8793,0.8834,0.8813,0.8864,0.8818,0.88,0.8854,0.8797,0.8838,0.8789,0.8833,0.8829,0.8787,0.8793,0.8809,0.8801,0.8747,0.8738,0.884,0.8799,0.8818,0.8853,0.8844,0.8815,0.8827,0.8823,0.879
VFOAdam_PF_04_Accuracy,0.7843,0.8403,0.8505,0.8639,0.8763,0.8787,0.8789,0.873,0.8921,0.8877,0.8854,0.8929,0.8952,0.8928,0.8953,0.8921,0.8968,0.8987,0.9002,0.8977,0.8977,0.8992,0.9006,0.9008,0.8992,0.8932,0.9006,0.8964,0.9008,0.8991,0.8993,0.8992,0.8962,0.9011,0.8979,0.8947,0.8979,0.8965,0.8954,0.896,0.8935,0.8906,0.8985,0.8928,0.8953,0.8905,0.8967,0.8922,0.8972,0.8944,0.8949,0.8888,0.8938,0.8968,0.8955,0.8936,0.8936,0.8896,0.8908,0.8886,0.8893,0.8941,0.8898,0.8904,0.8939,0.8932,0.8926,0.8924,0.8949,0.8896,0.8898,0.8908,0.8927,0.8886,0.8845,0.8928,0.8958,0.8909,0.8883,0.8853,0.8929,0.8901,0.8922,0.8898,0.8873,0.8921,0.894,0.8887,0.8886,0.893,0.885,0.8851,0.8914,0.8906,0.8914,0.8891,0.8864,0.8868,0.8911,0.892,0.8894,0.8899,0.8925,0.8927,0.8865,0.8908,0.8871,0.8825,0.8853,0.8879,0.8871,0.8929,0.889,0.8898,0.8856,0.8866,0.8886,0.8881,0.8925,0.8917,0.8889,0.8901,0.8929,0.8862,0.8862,0.8943,0.8909,0.8869,0.8892,0.8885,0.8851,0.8901,0.8924,0.887,0.8924,0.889,0.8901,0.8902,0.8875,0.89,0.8861,0.8892,0.8897,0.8837,0.8882,0.8911,0.8843,0.8913,0.8812,0.8883
VFOAdam_PF_06_Accuracy,0.8162,0.8495,0.8679,0.8645,0.8781,0.8829,0.8832,0.8786,0.8957,0.8934,0.8928,0.8945,0.8904,0.8965,0.8963,0.895,0.8964,0.8972,0.9005,0.8982,0.8979,0.9015,0.8903,0.9005,0.8992,0.8982,0.8967,0.8982,0.8903,0.9005,0.897,0.8989,0.8982,0.8977,0.8976,0.8955,0.8973,0.8937,0.8945,0.8916,0.8957,0.8953,0.9002,0.8936,0.8965,0.899,0.8925,0.897,0.8935,0.8873,0.8964,0.8955,0.8875,0.8937,0.8936,0.896,0.8904,0.8885,0.8935,0.8868,0.8912,0.8955,0.8889,0.894,0.8923,0.8885,0.8874,0.8875,0.8911,0.8869,0.8919,0.8934,0.8896,0.8912,0.8966,0.8962,0.8917,0.8922,0.8918,0.8894,0.8904,0.8929,0.8922,0.8886,0.8903,0.8932,0.8901,0.8938,0.8928,0.8876,0.8868,0.8907,0.8871,0.8893,0.8901,0.8879,0.8895,0.8851,0.8896,0.8895,0.8897,0.8883,0.8864,0.8919,0.8903,0.8896,0.8897,0.8947,0.8897,0.8921,0.8917,0.8865,0.8905,0.8934,0.8891,0.8882,0.8937,0.8869,0.8927,0.889,0.8902,0.8916,0.8893,0.8907,0.8896,0.8877,0.8831,0.8881,0.8895,0.8886,0.8903,0.8906,0.8895,0.8907,0.8867,0.8908,0.8843,0.8926,0.8892,0.8891,0.8885,0.8884,0.8867,0.8905,0.8872,0.8896,0.8913,0.8877,0.8886,0.8876
VFOAdam_PF_08_Accuracy,0.8153,0.8473,0.864,0.8672,0.8695,0.8838,0.883,0.8904,0.8941,0.8944,0.887,0.8908,0.8946,0.894,0.8968,0.899,0.9006,0.8982,0.8985,0.9002,0.8904,0.8973,0.8984,0.9001,0.8961,0.8981,0.8945,0.8946,0.8939,0.8981,0.8996,0.8957,0.898,0.8971,0.893,0.8954,0.8939,0.893,0.8904,0.8924,0.897,0.8976,0.8963,0.8931,0.8932,0.8944,0.8903,0.8915,0.8937,0.8896,0.8901,0.8907,0.8905,0.8909,0.8941,0.893,0.8902,0.8951,0.8928,0.8926,0.8889,0.8911,0.8912,0.8867,0.8887,0.8913,0.8927,0.8845,0.8885,0.8926,0.893,0.8917,0.8887,0.8864,0.8935,0.8909,0.8922,0.8924,0.8884,0.8857,0.8859,0.8933,0.8911,0.8905,0.8931,0.89,0.8903,0.8888,0.8937,0.8898,0.8924,0.8921,0.8906,0.885,0.8881,0.8878,0.8875,0.8913,0.8888,0.8903,0.8905,0.893,0.8874,0.8869,0.8916,0.8881,0.8882,0.8889,0.8908,0.8894,0.891,0.8903,0.8913,0.8914,0.8838,0.8875,0.8897,0.8823,0.8859,0.8888,0.8851,0.8903,0.8887,0.8871,0.8854,0.8873,0.891,0.8928,0.8899,0.8916,0.8878,0.8909,0.8885,0.8881,0.8881,0.8915,0.8892,0.8894,0.8891,0.892,0.8814,0.8938,0.8865,0.8882,0.8895,0.8911,0.8924,0.8933,0.8902,0.8904
VFOAdam_PF_10_Accuracy,0.8171,0.8483,0.856,0.8657,0.8747,0.8836,0.8827,0.8884,0.8823,0.8899,0.8899,0.89,0.8932,0.8892,0.8956,0.8936,0.8926,0.8965,0.8939,0.8962,0.8949,0.8991,0.8979,0.8989,0.8977,0.8941,0.8939,0.8979,0.8981,0.8969,0.8953,0.8993,0.899,0.8953,0.897,0.8925,0.8916,0.8964,0.8966,0.9,0.8947,0.8961,0.8934,0.8891,0.8936,0.8964,0.9016,0.8976,0.8982,0.8934,0.8941,0.896,0.894,0.8915,0.8959,0.8894,0.8971,0.8992,0.8978,0.8968,0.8924,0.8932,0.891,0.8983,0.8916,0.8903,0.8904,0.8963,0.8973,0.8915,0.8945,0.892,0.8934,0.888,0.8881,0.8949,0.8889,0.8899,0.8924,0.8953,0.8901,0.8901,0.8896,0.8899,0.8927,0.8869,0.8903,0.8933,0.8892,0.8904,0.8887,0.8919,0.887,0.8937,0.89,0.8905,0.8904,0.8877,0.8873,0.8919,0.8955,0.8876,0.8871,0.8925,0.8858,0.8891,0.8896,0.8894,0.8915,0.8824,0.8899,0.8917,0.8899,0.8904,0.8921,0.8894,0.8852,0.8916,0.8907,0.891,0.8841,0.8886,0.8871,0.8914,0.8894,0.8883,0.8903,0.8911,0.8894,0.8921,0.8907,0.888,0.8893,0.8882,0.8885,0.8887,0.8882,0.8887,0.8816,0.8867,0.8886,0.8893,0.8847,0.8897,0.8866,0.8882,0.8845,0.8849,0.8877,0.8772
VFOAdam_PF_12_Accuracy,0.8079,0.8386,0.8587,0.8652,0.8738,0.8765,0.8823,0.8822,0.886,0.8853,0.89,0.8826,0.8895,0.8947,0.8912,0.8946,0.894,0.8943,0.8964,0.8973,0.8981,0.8968,0.8943,0.8892,0.8948,0.895,0.8944,0.898,0.8926,0.8962,0.8906,0.8954,0.8956,0.8959,0.8923,0.8915,0.8987,0.8953,0.8966,0.8943,0.8968,0.896,0.8917,0.8944,0.8936,0.8941,0.8947,0.8954,0.8936,0.8927,0.8961,0.8901,0.8864,0.894,0.8915,0.8925,0.8924,0.894,0.8895,0.8909,0.8904,0.8907,0.8926,0.8907,0.8901,0.887,0.8921,0.8898,0.8916,0.8866,0.887,0.8865,0.8905,0.889,0.888,0.8895,0.8904,0.8879,0.8843,0.8889,0.8842,0.8874,0.8902,0.8884,0.8879,0.8856,0.889,0.8814,0.889,0.8883,0.8859,0.8898,0.8851,0.8841,0.8867,0.8904,0.8848,0.8899,0.8888,0.8899,0.8855,0.888,0.8883,0.8848,0.8857,0.8881,0.8914,0.8858,0.8869,0.8906,0.8829,0.8875,0.8837,0.8864,0.8868,0.8808,0.8874,0.8882,0.8894,0.8875,0.8871,0.8899,0.8896,0.8909,0.8889,0.8885,0.8823,0.8875,0.8893,0.8851,0.8865,0.8882,0.8895,0.8872,0.8877,0.8871,0.8849,0.8901,0.8881,0.8867,0.8831,0.8851,0.8859,0.8893,0.8912,0.8907,0.8846,0.8858,0.888,0.8907
VFOAdam_PF_14_Accuracy,0.7887,0.8447,0.8627,0.8681,0.8686,0.8747,0.8826,0.873,0.8792,0.8858,0.8913,0.8837,0.8948,0.8938,0.8901,0.8959,0.896,0.8986,0.8958,0.8942,0.8883,0.8967,0.8936,0.8978,0.8982,0.8966,0.8958,0.8994,0.9002,0.8966,0.8951,0.8954,0.8954,0.8956,0.8941,0.8944,0.901,0.8979,0.8945,0.8974,0.894,0.8922,0.895,0.8959,0.8982,0.894,0.8923,0.8868,0.8942,0.8908,0.8903,0.8913,0.895,0.8952,0.8947,0.8908,0.8913,0.8937,0.8933,0.8891,0.8934,0.8912,0.8904,0.892,0.8894,0.8917,0.8885,0.8938,0.8902,0.8937,0.8878,0.8856,0.892,0.8936,0.8909,0.8888,0.8918,0.8875,0.8899,0.8909,0.8876,0.8854,0.8885,0.8853,0.8859,0.8932,0.8889,0.8883,0.8903,0.8865,0.8885,0.8906,0.8884,0.8894,0.885,0.8869,0.8879,0.8901,0.8855,0.8872,0.8877,0.8868,0.8931,0.8846,0.8874,0.8818,0.8865,0.8886,0.8844,0.8875,0.8848,0.8896,0.8866,0.8874,0.8882,0.8849,0.8881,0.8865,0.8871,0.8884,0.8845,0.8869,0.8874,0.8833,0.8837,0.8803,0.8852,0.8858,0.8841,0.8853,0.8819,0.8808,0.884,0.8833,0.8907,0.8878,0.8794,0.8868,0.8915,0.8854,0.8875,0.8893,0.8841,0.8853,0.884,0.8815,0.8857,0.8892,0.8816,0.8918
