,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
IFOGD_PF_02_Accuracy,0.2383,0.3096,0.57,0.6759,0.6956,0.7104,0.7278,0.7369,0.7377,0.7479,0.7564,0.7569,0.7644,0.7715,0.7745,0.776,0.7822,0.7869,0.7917,0.7936,0.7913,0.802,0.8006,0.7978,0.8056,0.8041,0.8108,0.8138,0.8177,0.8157,0.8181,0.8183,0.8211,0.8236,0.8247,0.8253,0.821,0.8251,0.83,0.8314,0.8318,0.8318,0.8292,0.8348,0.8303,0.8375,0.8372,0.833,0.8352,0.8368,0.8417,0.8428,0.8381,0.8427,0.843,0.8414,0.8424,0.8452,0.8423,0.8452,0.8466,0.8481,0.8467,0.8466,0.8477,0.8478,0.8463,0.8493,0.8486,0.8491,0.8498,0.8515,0.8527,0.8514,0.8528,0.8514,0.8528,0.854,0.8559,0.8545,0.8592,0.858,0.8565,0.8565,0.8574,0.8568,0.8598,0.8574,0.8587,0.8618,0.8611,0.8617,0.857,0.863,0.8596,0.8606,0.8567,0.8643,0.8588,0.8655,0.8631,0.8638,0.8654,0.8661,0.8617,0.8673,0.8653,0.8642,0.8638,0.8605,0.8642,0.8649,0.8648,0.8658,0.8677,0.8653,0.8693,0.8698,0.8687,0.8683,0.871,0.8681,0.8594,0.8695,0.8691,0.8713,0.8709,0.871,0.8697,0.8675,0.8712,0.8741,0.8719,0.8709,0.8737,0.8705,0.871,0.8737,0.8695,0.8733,0.8697,0.8735,0.872,0.875,0.8717,0.8722,0.8745,0.8723,0.8744,0.8712
IFOGD_PF_04_Accuracy,0.1466,0.283,0.4445,0.6872,0.7091,0.729,0.7391,0.7477,0.7534,0.7688,0.7704,0.7809,0.7897,0.7864,0.7838,0.7996,0.8042,0.801,0.8058,0.8123,0.8125,0.8173,0.8106,0.821,0.8095,0.8164,0.8262,0.8283,0.8274,0.8327,0.828,0.834,0.8162,0.8347,0.8328,0.8336,0.8385,0.8291,0.8422,0.8396,0.8349,0.8432,0.8444,0.8418,0.8338,0.8472,0.8441,0.8482,0.8498,0.8455,0.8506,0.8545,0.8526,0.8531,0.8533,0.8532,0.8559,0.8508,0.8576,0.8572,0.839,0.8546,0.8557,0.8524,0.8556,0.8628,0.852,0.8556,0.8501,0.8572,0.8525,0.8505,0.8645,0.8572,0.8639,0.8658,0.8581,0.8646,0.8666,0.8647,0.8653,0.8682,0.865,0.8672,0.8679,0.8655,0.8686,0.8682,0.8692,0.8556,0.8714,0.8702,0.87,0.8689,0.8713,0.8652,0.8722,0.8699,0.873,0.8708,0.8684,0.8622,0.875,0.8702,0.875,0.8715,0.861,0.8714,0.8753,0.8777,0.874,0.8698,0.8758,0.8742,0.8768,0.8737,0.8736,0.8743,0.8747,0.8751,0.8664,0.8763,0.8726,0.8768,0.8736,0.8764,0.874,0.8707,0.8786,0.878,0.8752,0.8765,0.8813,0.873,0.8791,0.8795,0.8788,0.876,0.8804,0.8773,0.8791,0.8744,0.8814,0.882,0.8796,0.8769,0.8789,0.8728,0.8779,0.8809
IFOGD_PF_06_Accuracy,0.2048,0.39,0.6391,0.6915,0.7179,0.7326,0.7421,0.7488,0.7574,0.7676,0.7778,0.7831,0.7797,0.7994,0.7794,0.8078,0.8114,0.8172,0.8157,0.8203,0.8217,0.8267,0.8302,0.8307,0.823,0.8327,0.8348,0.8329,0.839,0.839,0.838,0.8462,0.8415,0.8456,0.8422,0.8301,0.8429,0.8514,0.843,0.8509,0.8479,0.8519,0.8538,0.8504,0.8554,0.8513,0.859,0.8549,0.8583,0.8594,0.8488,0.8568,0.8621,0.8609,0.8662,0.8593,0.8585,0.8657,0.8566,0.851,0.8648,0.8674,0.8534,0.8711,0.861,0.8674,0.8685,0.8676,0.8648,0.872,0.8681,0.8702,0.8707,0.8725,0.8729,0.8632,0.8697,0.8665,0.8624,0.8707,0.8752,0.8702,0.875,0.8762,0.8728,0.8738,0.8746,0.8726,0.8751,0.8757,0.8721,0.8753,0.8751,0.8445,0.8737,0.8709,0.8729,0.8752,0.8795,0.8759,0.8681,0.8793,0.8796,0.8746,0.867,0.8741,0.878,0.8804,0.8682,0.8739,0.8829,0.8796,0.8814,0.8772,0.8798,0.8691,0.8773,0.8794,0.8815,0.8779,0.8757,0.8766,0.8809,0.8781,0.8786,0.8772,0.8816,0.8729,0.8792,0.8826,0.8764,0.8817,0.8823,0.8804,0.8738,0.8798,0.8769,0.8818,0.8849,0.88,0.879,0.8841,0.8833,0.8813,0.8735,0.8847,0.8815,0.8824,0.886,0.8799
IFOGD_PF_08_Accuracy,0.2837,0.5617,0.6918,0.7073,0.7315,0.7274,0.7448,0.7627,0.7673,0.7673,0.7751,0.7849,0.7907,0.797,0.7952,0.8088,0.7998,0.8095,0.8115,0.8009,0.8261,0.8241,0.8156,0.8325,0.8153,0.8386,0.8414,0.8398,0.8442,0.8272,0.8323,0.8486,0.8358,0.8516,0.8521,0.8444,0.8527,0.851,0.8508,0.8471,0.8526,0.8585,0.853,0.8552,0.8561,0.8558,0.865,0.8601,0.8615,0.8596,0.862,0.8622,0.8632,0.8662,0.8607,0.868,0.8691,0.8633,0.8617,0.8684,0.8694,0.8622,0.8675,0.8535,0.8717,0.8631,0.8756,0.8729,0.8668,0.8755,0.8651,0.8658,0.876,0.8782,0.866,0.8748,0.8682,0.8726,0.8718,0.8742,0.8802,0.8759,0.8824,0.8822,0.8773,0.8723,0.877,0.8798,0.8733,0.882,0.8736,0.8772,0.8817,0.8794,0.8788,0.8823,0.8748,0.8732,0.8861,0.8763,0.8765,0.8863,0.8857,0.8803,0.8791,0.8775,0.8838,0.8865,0.8833,0.8814,0.8833,0.8841,0.8859,0.8813,0.8855,0.8755,0.8861,0.8808,0.8824,0.8841,0.8861,0.878,0.8862,0.8874,0.8855,0.8866,0.8894,0.8861,0.8842,0.8852,0.8846,0.8854,0.8807,0.8865,0.885,0.8865,0.8824,0.8908,0.884,0.8802,0.8894,0.8889,0.8861,0.8868,0.8889,0.8892,0.8892,0.8919,0.8867,0.8901
IFOGD_PF_10_Accuracy,0.2135,0.5591,0.7017,0.7327,0.7504,0.7442,0.7802,0.7864,0.7865,0.8036,0.7951,0.8064,0.8027,0.8084,0.8112,0.8199,0.8255,0.8162,0.8265,0.8303,0.8358,0.8352,0.82,0.8415,0.8371,0.8448,0.8364,0.8523,0.8541,0.8517,0.8548,0.8471,0.857,0.8537,0.8475,0.8521,0.8545,0.8605,0.8617,0.8593,0.8522,0.8619,0.8626,0.8525,0.8621,0.8643,0.8628,0.8669,0.8751,0.8675,0.8683,0.8672,0.8694,0.8744,0.8722,0.8675,0.8779,0.8726,0.8713,0.8809,0.8714,0.8759,0.8789,0.8785,0.8811,0.8787,0.872,0.8813,0.8834,0.8815,0.8782,0.8791,0.8784,0.882,0.8834,0.8818,0.8778,0.8821,0.8832,0.8829,0.8849,0.8838,0.8768,0.8771,0.8696,0.881,0.8747,0.8858,0.8825,0.8823,0.8888,0.8871,0.8812,0.8845,0.8876,0.8805,0.882,0.8874,0.8897,0.8831,0.8874,0.8832,0.882,0.8865,0.8898,0.884,0.8903,0.8835,0.8892,0.8704,0.8803,0.8842,0.8929,0.8876,0.8886,0.8883,0.8901,0.8901,0.8917,0.884,0.8943,0.8913,0.8943,0.8909,0.8909,0.8929,0.8925,0.888,0.8893,0.8942,0.877,0.8911,0.8904,0.8918,0.8904,0.8966,0.8908,0.8947,0.8953,0.8914,0.8945,0.8947,0.8932,0.8933,0.8902,0.8954,0.8894,0.8944,0.8947,0.8966
IFOGD_PF_12_Accuracy,0.4166,0.6682,0.7164,0.7416,0.7575,0.7735,0.7638,0.7892,0.7989,0.7849,0.792,0.8203,0.8151,0.8253,0.8274,0.8204,0.8365,0.8391,0.8271,0.8439,0.8339,0.8327,0.8472,0.8414,0.8567,0.8565,0.8382,0.8331,0.853,0.8586,0.8261,0.8626,0.8596,0.8678,0.8585,0.8647,0.8544,0.8648,0.8631,0.8665,0.8646,0.8724,0.8757,0.8711,0.875,0.8699,0.8703,0.874,0.8727,0.88,0.8796,0.8771,0.8801,0.8681,0.8797,0.8772,0.872,0.8756,0.8657,0.8791,0.8758,0.8815,0.8811,0.8738,0.8809,0.8795,0.8751,0.8801,0.8742,0.8811,0.8815,0.8821,0.8812,0.8851,0.8803,0.8765,0.8788,0.8852,0.8866,0.8862,0.8839,0.8842,0.8871,0.8867,0.8877,0.8829,0.8843,0.8827,0.8852,0.8884,0.8914,0.8902,0.8848,0.8865,0.8851,0.8871,0.8846,0.8897,0.8899,0.885,0.8904,0.8886,0.8891,0.8877,0.8918,0.8856,0.8894,0.8869,0.892,0.892,0.8892,0.8931,0.8936,0.8896,0.8892,0.8908,0.8921,0.8909,0.8944,0.8895,0.8909,0.8926,0.8887,0.8918,0.8892,0.885,0.8936,0.89,0.8883,0.8966,0.8965,0.8898,0.8939,0.8893,0.8956,0.8904,0.8957,0.8945,0.8876,0.8909,0.8943,0.8949,0.894,0.895,0.8966,0.891,0.8973,0.8997,0.8921,0.898
IFOGD_PF_14_Accuracy,0.2946,0.7045,0.72,0.7701,0.7708,0.7742,0.7996,0.7976,0.8072,0.8136,0.8132,0.8299,0.8153,0.8266,0.839,0.8326,0.8456,0.8524,0.852,0.8444,0.8565,0.8607,0.8625,0.861,0.8525,0.8582,0.863,0.8658,0.8629,0.867,0.8684,0.863,0.8692,0.8709,0.8691,0.8697,0.8693,0.877,0.8716,0.8775,0.8762,0.8771,0.8794,0.8824,0.8795,0.8811,0.8825,0.8832,0.8829,0.8744,0.8842,0.8866,0.888,0.8827,0.8823,0.8783,0.8894,0.8761,0.8803,0.883,0.8857,0.8806,0.8804,0.8896,0.8899,0.8911,0.8917,0.8829,0.889,0.891,0.8814,0.8888,0.8927,0.891,0.8789,0.8891,0.8892,0.892,0.8869,0.8929,0.8924,0.8915,0.8826,0.8903,0.8926,0.8934,0.8913,0.892,0.8835,0.8961,0.8945,0.8906,0.8935,0.8878,0.8956,0.8903,0.8899,0.892,0.8942,0.8942,0.8923,0.895,0.8858,0.8958,0.8948,0.8887,0.8945,0.8892,0.8896,0.8944,0.8917,0.8963,0.8965,0.894,0.8948,0.8947,0.891,0.8988,0.895,0.8967,0.8942,0.8962,0.8976,0.8943,0.8909,0.8926,0.8947,0.893,0.889,0.891,0.8971,0.8928,0.8904,0.8937,0.8924,0.8948,0.8974,0.8963,0.8879,0.8954,0.8821,0.8922,0.8889,0.8972,0.8956,0.898,0.8862,0.8969,0.8965,0.8939
IFOGD_PF_16_Accuracy,0.6499,0.7296,0.7578,0.7713,0.7708,0.799,0.8088,0.8165,0.7728,0.8139,0.811,0.8191,0.8415,0.8318,0.8389,0.8477,0.8562,0.8461,0.8505,0.85,0.8415,0.8503,0.8665,0.8636,0.867,0.8603,0.8723,0.8718,0.8731,0.8697,0.8736,0.87,0.8722,0.8762,0.8732,0.8756,0.8767,0.8747,0.8807,0.8717,0.8815,0.8805,0.884,0.873,0.881,0.8789,0.8825,0.8815,0.8802,0.8835,0.885,0.8753,0.8837,0.8814,0.8892,0.8755,0.8779,0.8817,0.8836,0.8879,0.8905,0.8893,0.8884,0.8869,0.8903,0.8821,0.8874,0.8914,0.8892,0.8908,0.8836,0.891,0.8899,0.8913,0.8934,0.8919,0.8863,0.893,0.891,0.8916,0.8947,0.8931,0.8854,0.8897,0.8884,0.8936,0.8933,0.8904,0.8895,0.8943,0.8931,0.8889,0.8909,0.8877,0.8829,0.8925,0.8941,0.8875,0.8915,0.8967,0.8941,0.8946,0.8948,0.8917,0.8969,0.8965,0.8937,0.8921,0.8877,0.896,0.8922,0.8943,0.8892,0.8928,0.8961,0.8943,0.89,0.8927,0.8912,0.8921,0.8934,0.8917,0.8951,0.8909,0.895,0.8964,0.8907,0.8957,0.8969,0.8943,0.8922,0.8956,0.889,0.8951,0.8926,0.8975,0.8956,0.8933,0.8948,0.8958,0.8941,0.8946,0.8859,0.8984,0.8933,0.8862,0.8979,0.8969,0.8972,0.8942
IFOGD_PF_18_Accuracy,0.404,0.6641,0.7217,0.7283,0.7435,0.7722,0.7618,0.7753,0.803,0.8038,0.8074,0.8132,0.8201,0.8339,0.8247,0.835,0.8469,0.8444,0.8419,0.8395,0.8519,0.8448,0.8608,0.8554,0.8621,0.8598,0.8638,0.8626,0.8635,0.8632,0.8701,0.8711,0.8648,0.8623,0.8707,0.87,0.8716,0.8721,0.8749,0.8739,0.8758,0.8753,0.8782,0.8784,0.8795,0.8772,0.8808,0.878,0.8791,0.8797,0.8777,0.8814,0.883,0.8763,0.8776,0.8813,0.8855,0.8725,0.8838,0.8819,0.8786,0.8865,0.8824,0.88,0.8813,0.8873,0.8839,0.8845,0.8787,0.8839,0.8848,0.8846,0.8894,0.8852,0.8819,0.8831,0.8851,0.8849,0.889,0.8872,0.8836,0.8886,0.886,0.8864,0.8754,0.8851,0.8824,0.892,0.8857,0.8882,0.8909,0.8836,0.8902,0.8878,0.8876,0.8893,0.8804,0.8919,0.8922,0.8868,0.8882,0.8882,0.8906,0.8883,0.8932,0.8853,0.8927,0.8906,0.8932,0.8921,0.8819,0.8899,0.8881,0.8933,0.8931,0.8948,0.8754,0.8915,0.8854,0.888,0.8942,0.8957,0.8902,0.8826,0.8938,0.8898,0.8822,0.8913,0.8876,0.8956,0.893,0.8967,0.895,0.8984,0.893,0.8934,0.8913,0.898,0.8946,0.8866,0.8938,0.8964,0.8886,0.8897,0.8957,0.8883,0.8916,0.8978,0.8967,0.8932
