,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304
ETTh1_VFOAdam_PF_06_Loss,57.921444,57.718468,40.38903,15.51455,7.070484,4.9587936,4.353501,4.0647283,3.8276687,3.6809025,3.4105282,3.2982526,3.1452205,3.0089126,2.9119883,2.7970636,2.7529979,2.6258879,2.5891578,2.570539,2.4658594,2.4429011,2.3966808,2.3497703,2.3131096,2.2518454,2.254261,2.2235584,2.2164311,2.19909,2.1870172,2.1426768,2.1422193,2.0813892,2.1296446,2.0771182,2.0747547,2.055031,2.0860484,2.0401974,2.0615995,2.0416493,2.0226226,2.04911,2.043774,2.0320537,2.0211127,2.0033169,2.0208025,2.0193896,2.0152135,1.9951843,1.9964023,2.0033462,2.017627,2.0021398,1.9957948,1.9928423,1.9665657,1.9395611,1.955594,1.9681368,1.9702004,1.9497796,1.9318025,1.8999172,1.9345161,1.9410598,1.9339583,1.9009539,1.8861609,1.8599612,1.8944343,1.9027872,1.8590894,1.8614168,1.8491627,1.8828722,1.8361955,1.8626565,1.8697238,1.849133,1.8258845,1.8320161,1.7922552,1.818296,1.7858573,1.7995551,1.7973833,1.811726,1.7780927,1.7640188,1.770773,1.7774293,1.7621344,1.7705675,1.7557937,1.730634,1.7324197,1.7390058,1.7467685,1.7264423,1.7459725,1.7100401,1.6760048,1.7083086,1.688589,1.6552112,1.6559008,1.6488999,1.6603601,1.6409042,1.6843649,1.6637304,1.6292114,1.6168181,1.6353782,1.6095017,1.6308442,1.5987514,1.6485332,1.6281431,1.625945,1.5976616,1.6105704,1.63096,1.6227331,1.6131896,1.598984,1.5947027,1.5756965,1.6004269,1.5657072,1.5743635,1.5563157,1.5891415,1.5525036,1.5563759,1.5591654,1.5396551,1.5265874,1.5305177,1.529432,1.5190024,1.5054703,1.5039972,1.5033089,1.4887795,1.4955589,1.4781547,1.4862584,1.4654315,1.4722807,1.4418491,1.4771656,1.4629389,1.4706206,1.4763428,1.4450235,1.4511553,1.4459988,1.4449185,1.4477433,1.4108222,1.4328052,1.4376669,1.4327242,1.4733176,1.4322711,1.4175268,1.4661961,1.4408221,1.4347113,1.4544368,1.4448793,1.419342,1.4059695,1.4054834,1.4234085,1.4105982,1.4034836,1.4343603,1.4145073,1.4074051,1.4392161,1.4176912,1.4025173,1.4177068,1.4221135,1.4235637,1.4054897,1.39937,1.4005232,1.3957735,1.3957984,1.384956,1.388799,1.3886192,1.372585,1.3787388,1.3866075,1.3650057,1.3656583,1.3487837,1.3372018,1.3262808,1.3419771,1.3534334,1.3609979,1.333007,1.3302914,1.322924,1.3256099,1.3317592,1.3346115,1.3311049,1.3285557,1.326555,1.299287,1.3342686,1.2996428,1.2855428,1.2824832,1.29958,1.3037194,1.3061427,1.2799169,1.2882277,1.2772973,1.2815887,1.2897285,1.2904093,1.2750123,1.274713,1.274424,1.2630438,1.2679929,1.2581735,1.2540909,1.240451,1.2726203,1.2452083,1.2412509,1.2524233,1.2702858,1.2528682,1.2598045,1.2481579,1.2336756,1.2458702,1.2630616,1.2561293,1.2385274,1.2452291,1.2347405,1.2245383,1.2072682,1.2479225,1.222066,1.2177916,1.2275753,1.2334446,1.2243005,1.2245158,1.2190317,1.2186314,1.2198554,1.2404375,1.2220991,1.243643,1.2172161,1.2398386,1.2132356,1.2140623,1.2074454,1.2279075,1.21394,1.183434,1.1983852,1.2216569,1.2266512,1.1632017,1.1974488,1.1970108,1.1962509,1.1933697,1.2100604,1.1903312,1.2105235,1.1749364,1.1747947,1.17978,1.185616,1.1956173,1.171461,1.2045685,1.1602689,1.1737535,1.1771922,1.181986,0.010868881829082966,0.08294808864593506,0.2716957628726959,0.28055864572525024,0.9329247994762734
ETTh1_VFOAdam_PF_08_Loss,62.461666,56.633415,40.188465,12.799706,7.944975,6.793286,6.0878987,5.624123,5.0935698,4.6405883,4.234652,3.8937082,3.6466248,3.3635252,3.2219942,3.0245419,2.916973,2.8069935,2.7261705,2.6316912,2.565406,2.5216699,2.4645798,2.4610348,2.384256,2.36805,2.3354063,2.3091235,2.3102386,2.2446733,2.2226439,2.2343645,2.2022364,2.1863763,2.1635907,2.1390991,2.149444,2.149358,2.1318057,2.0778944,2.0738082,2.114805,2.1004426,2.1060493,2.0680945,2.0759382,2.0857487,2.0593839,2.0537648,2.0506527,2.007878,2.021489,2.002249,2.002437,2.0054765,2.022865,1.9887819,2.0104427,1.9770491,2.0134122,2.0238583,1.9633065,1.971094,1.9235157,1.9283423,1.9365249,1.9015361,1.8961705,1.9404242,1.9277431,1.9149872,1.887221,1.8847605,1.8863549,1.8800942,1.8631663,1.8594295,1.855392,1.8792248,1.8816228,1.8625118,1.8478862,1.8459831,1.8613921,1.8453573,1.8006768,1.8293084,1.8567027,1.8151824,1.7985103,1.8005617,1.7892563,1.8012636,1.7777702,1.7820715,1.8073586,1.7798507,1.7555178,1.7804494,1.7405325,1.7584653,1.7299231,1.7424138,1.7099568,1.7223033,1.6968004,1.6913073,1.6959862,1.6791551,1.6700993,1.6679398,1.645473,1.6335868,1.6311638,1.6599759,1.6641002,1.6326143,1.6436199,1.6421396,1.6192824,1.6372464,1.6142069,1.6206001,1.6179616,1.6093892,1.605967,1.6101857,1.5943784,1.5939168,1.5968989,1.5902051,1.6056163,1.5995158,1.5540837,1.5583335,1.5770559,1.5727547,1.5784388,1.5530597,1.5611346,1.5475138,1.566316,1.5629082,1.5555159,1.5510962,1.5510315,1.5557646,1.5417265,1.5153344,1.5384682,1.5302958,1.530104,1.5191116,1.4866825,1.4908274,1.5024083,1.4981015,1.494924,1.4888667,1.4862269,1.4773085,1.5062054,1.4497434,1.4840369,1.4577745,1.4660103,1.4679339,1.4507247,1.4439459,1.4422272,1.3954782,1.4145911,1.4059249,1.4510651,1.4188894,1.3992888,1.4079636,1.4366978,1.4157603,1.4025074,1.4086245,1.4058691,1.4068938,1.3854086,1.4010878,1.3894929,1.4028302,1.3656161,1.3742917,1.390466,1.389903,1.3755599,1.3494565,1.3827181,1.3761767,1.3967117,1.3714272,1.3700929,1.3758461,1.3725309,1.3514596,1.3652675,1.3425266,1.3506247,1.3790314,1.3692533,1.3699422,1.3408612,1.3660223,1.3281652,1.3302393,1.3548765,1.3422214,1.3389517,1.3552054,1.3408334,1.3367486,1.3242073,1.3297852,1.3140736,1.3213406,1.3181524,1.2974886,1.3118634,1.3070242,1.2713703,1.27958,1.2900609,1.273947,1.2933893,1.275887,1.2766556,1.2869692,1.2777748,1.2978227,1.2653598,1.2648939,1.2831426,1.2826568,1.2998314,1.2807647,1.2495089,1.2506678,1.2780712,1.2824798,1.2684877,1.2501329,1.2584559,1.2706585,1.2702224,1.2478864,1.2417538,1.2405672,1.2428554,1.2528841,1.2440455,1.2324781,1.238819,1.2451304,1.2289077,1.2448994,1.2368922,1.2232275,1.2232368,1.2171953,1.2215202,1.2133226,1.2152487,1.2121061,1.2099489,1.2245704,1.2125967,1.1913927,1.2027497,1.1910652,1.2015795,1.184677,1.203734,1.2058839,1.1926335,1.2073079,1.1933569,1.1958139,1.1954443,1.1836458,1.175329,1.1841207,1.1706026,1.1794403,1.1995993,1.191718,1.183121,1.2019916,1.1792378,1.1870943,1.1830934,1.1751075,1.1757358,1.1740801,1.1925777,0.009263001382350922,0.07336348295211792,0.2599763870239258,0.2563299536705017,0.9428351782770498
ETTh1_VFOAdam_PF_10_Loss,62.002964,58.379807,37.534096,12.610085,6.3748355,4.8968263,4.4647813,4.1632695,3.9125233,3.7183256,3.4881988,3.3047476,3.1855679,3.0574207,2.904632,2.7666812,2.7508852,2.6283097,2.5575364,2.4780903,2.4500442,2.3979545,2.3573933,2.3131201,2.2688937,2.266898,2.2450485,2.220019,2.2014182,2.1598992,2.125739,2.1548133,2.1257658,2.1130576,2.1107512,2.091182,2.1145062,2.0779865,2.0696728,2.0336685,2.0533834,2.0430572,2.0436957,2.0086937,2.0022619,1.9854332,1.980709,1.9874969,1.9639719,1.9647923,1.9833349,1.9212013,1.948002,1.9732327,1.9786769,1.9791939,1.9569293,1.9409837,1.9291434,1.9741476,1.9448266,1.9286166,1.9410676,1.9180707,1.9342434,1.9421449,1.9159223,1.8872466,1.8805485,1.9062347,1.9183621,1.8927552,1.9103291,1.8866043,1.8561875,1.9168563,1.8675035,1.8441173,1.8665342,1.8537798,1.8219506,1.8445289,1.8296411,1.8241098,1.8081957,1.8287895,1.8066279,1.7832781,1.7747452,1.7922065,1.7660651,1.7557226,1.7745724,1.7653036,1.7539454,1.7441874,1.7560647,1.7239648,1.7404228,1.7369386,1.7404015,1.7117821,1.7191361,1.7001126,1.7004925,1.6884218,1.664864,1.6753985,1.6672021,1.6720873,1.6517934,1.662919,1.6386418,1.6662844,1.626436,1.651834,1.6536635,1.6187104,1.6445415,1.6262273,1.627414,1.6202301,1.6062251,1.5967903,1.5971345,1.5586306,1.5883389,1.5703279,1.546396,1.5636901,1.544933,1.5508996,1.5596813,1.5602635,1.5307382,1.5591518,1.5281463,1.5387181,1.5330682,1.5276284,1.5445764,1.5128917,1.506055,1.5339352,1.5071374,1.4807566,1.5187373,1.5317873,1.5028765,1.5004562,1.4984057,1.4890895,1.476685,1.4961151,1.462484,1.4884398,1.4407351,1.4588733,1.4693782,1.4650619,1.434078,1.4728405,1.4456024,1.4675877,1.4469815,1.4391103,1.4319631,1.4553238,1.4446805,1.4322417,1.4227654,1.4233557,1.3976003,1.3879647,1.4155936,1.40915,1.4110885,1.4213982,1.4132947,1.4064262,1.4229909,1.4025434,1.4130932,1.4151564,1.4217644,1.3904423,1.4065592,1.4263511,1.4051824,1.4101751,1.3866959,1.3909917,1.3867277,1.3986285,1.3737013,1.3487978,1.3712378,1.3481857,1.3708918,1.3818918,1.3542551,1.3647537,1.341087,1.367284,1.3541138,1.3356128,1.3392904,1.3480475,1.3675264,1.3152027,1.3330299,1.3143356,1.3304968,1.3387043,1.337366,1.3400515,1.3356048,1.3232024,1.3185142,1.2965294,1.3094184,1.3457752,1.2991037,1.3120961,1.3032515,1.2984736,1.2784363,1.2992151,1.28795,1.3031101,1.2888057,1.3093035,1.2798288,1.2968955,1.2796947,1.2749892,1.2878481,1.2973738,1.282243,1.2976322,1.2585185,1.2845027,1.2545602,1.3123116,1.2556113,1.2786635,1.2912451,1.2751435,1.2648255,1.2643956,1.261471,1.2808793,1.2505707,1.2702188,1.2325687,1.2542843,1.2649629,1.2689122,1.2811979,1.246001,1.2666578,1.2257327,1.2623136,1.2460052,1.2548993,1.2411356,1.2509462,1.2557408,1.2415285,1.2434033,1.2468891,1.2507741,1.2270151,1.2347053,1.2184511,1.2201223,1.230431,1.2077675,1.2010157,1.2036802,1.1930237,1.2047484,1.1837667,1.2078717,1.1778513,1.1945382,1.1885632,1.199366,1.1898946,1.2131424,1.1681023,1.1860555,1.1884016,1.1915301,1.19974,1.1919949,1.1982882,1.1915998,1.1704104,1.1958774,0.009388948790729046,0.07452308386564255,0.3847663402557373,0.25576120615005493,0.9420579247673141
ETTh1_VFOAdam_PF_12_Loss,59.760483,50.632755,26.663927,8.325718,5.1489787,4.235902,3.8603282,3.5678573,3.3536804,3.1676211,3.0233672,2.8941987,2.7832823,2.7032096,2.6246126,2.560768,2.4910681,2.426654,2.4185586,2.313398,2.3089395,2.3005488,2.2841702,2.2540548,2.2305052,2.2511926,2.1932864,2.2098808,2.1721568,2.1853294,2.1850622,2.1433635,2.1396904,2.129965,2.1195152,2.1255512,2.0908465,2.129544,2.1054018,2.0855083,2.1035423,2.1048658,2.084915,2.0815732,2.1038344,2.0947275,2.0615563,2.0574608,2.047493,2.07602,2.0414526,2.0548813,2.0452983,2.0286472,2.013525,2.0572622,2.0143228,2.0489097,2.0444999,2.022316,2.038297,1.954124,2.0179725,2.0272524,1.9856153,2.0007412,1.9596739,1.987115,1.9492747,1.9389762,1.9475839,1.909549,1.8939793,1.9425482,1.8861145,1.8825388,1.8743402,1.8682921,1.8607125,1.8517582,1.8493946,1.8360127,1.8233047,1.8367659,1.8287927,1.8224052,1.8343638,1.7934344,1.82978,1.7855077,1.7786459,1.7553828,1.7548695,1.7564086,1.7513679,1.756553,1.7461236,1.7121767,1.7397406,1.7184958,1.732039,1.6947622,1.7238021,1.6917684,1.6862195,1.6953433,1.6840057,1.6756867,1.6964595,1.6359391,1.6494075,1.6337248,1.6551737,1.611333,1.6101334,1.628228,1.6001049,1.6297863,1.6024659,1.5752387,1.5698166,1.5664535,1.6075157,1.5776516,1.5638844,1.5563651,1.5533139,1.548108,1.5413114,1.5516539,1.54405,1.5305364,1.532927,1.5253255,1.5273854,1.5261647,1.5052586,1.5161912,1.4995626,1.5000417,1.5000167,1.4902439,1.516463,1.4943094,1.4583325,1.4779019,1.4630533,1.4534895,1.4470881,1.483208,1.4696517,1.4585284,1.4346957,1.4549388,1.4177077,1.4378171,1.4503952,1.4176283,1.4408581,1.447384,1.4392731,1.4323332,1.4134688,1.4057785,1.4043874,1.3971944,1.4261653,1.4012148,1.3780701,1.368236,1.394521,1.4193428,1.3585335,1.3595324,1.3826042,1.3725718,1.4003466,1.3555539,1.3659835,1.3374815,1.3483262,1.3514458,1.3824111,1.3853592,1.3422881,1.3401679,1.3054365,1.3262458,1.3347307,1.3040363,1.3188393,1.31988,1.2976954,1.2944326,1.2798097,1.2998288,1.280086,1.2851573,1.267144,1.2944609,1.2729286,1.2593694,1.2706034,1.2733179,1.2688816,1.3026501,1.2643309,1.2688415,1.2593423,1.2738798,1.2945293,1.2494519,1.2900305,1.2356062,1.2315145,1.2709181,1.2366502,1.2425201,1.2304885,1.2414329,1.23353,1.2724222,1.2350969,1.2485183,1.2512621,1.2102935,1.2441986,1.260162,1.2578354,1.2154803,1.2359471,1.2382429,1.2054378,1.1895545,1.2293874,1.2230095,1.2070987,1.1832994,1.1974878,1.1794839,1.1989065,1.2072062,1.1963671,1.185573,1.2181567,1.199878,1.1785287,1.2014433,1.2092177,1.1867111,1.1675838,1.1914893,1.1958472,1.1965107,1.1926967,1.1633878,1.156536,1.1907346,1.1458657,1.1546947,1.1876588,1.1573644,1.1448553,1.165505,1.1543329,1.1284229,1.1434294,1.1399145,1.1768619,1.1420925,1.1239355,1.1477216,1.1399009,1.1257086,1.1274209,1.1311401,1.1259208,1.0818101,1.1219335,1.1201665,1.1363636,1.1018183,1.1405516,1.1370687,1.1244825,1.1394428,1.1362047,1.1561393,1.1832685,1.1646116,1.1447117,1.1080912,1.1247178,1.1165583,1.1185398,1.1211582,1.1462644,1.1424675,1.1141597,1.1359684,0.007994892075657845,0.06570924818515778,0.32738590240478516,0.23912034928798676,0.9506610707517418
ETTh1_VFOAdam_PF_14_Loss,61.764744,58.53208,48.46417,17.299383,7.101532,5.0551558,4.4293385,4.081816,3.8487384,3.5500267,3.32581,3.173405,2.9990172,2.901221,2.776761,2.696484,2.6031952,2.5671139,2.5176826,2.4725542,2.4217663,2.4026923,2.3554199,2.3680317,2.3336196,2.2989366,2.2681003,2.236759,2.2423797,2.219534,2.210845,2.1808486,2.1612139,2.125875,2.1515417,2.1208527,2.1239064,2.0989385,2.0893822,2.0675986,2.0706186,2.0935721,2.046048,2.0486703,2.0415828,2.0086381,2.012014,2.0132437,2.010276,1.9862392,2.0047696,1.9805527,1.999587,1.9499484,1.9771589,1.9406062,1.9785752,1.9247867,1.914899,1.9346584,1.938931,1.925054,1.9072345,1.9075567,1.8965447,1.9222344,1.8615495,1.8792728,1.852313,1.8657831,1.8616059,1.859245,1.8616086,1.8313708,1.8150836,1.8060825,1.8367468,1.7984535,1.7991107,1.7825835,1.796444,1.7675284,1.7925543,1.7711347,1.767459,1.7797271,1.7434001,1.7469213,1.7436467,1.7359165,1.7490691,1.7248576,1.7274148,1.715744,1.6910647,1.6997943,1.7136806,1.7007843,1.7313297,1.7102278,1.6903572,1.6901544,1.6662264,1.6658862,1.6691556,1.659966,1.634629,1.6629316,1.6527553,1.6633115,1.6329032,1.6229692,1.6581428,1.6261065,1.6163661,1.6283548,1.63858,1.6216153,1.605324,1.6103286,1.5875567,1.6047672,1.5708783,1.5761827,1.5780945,1.5726273,1.5575956,1.5773312,1.551336,1.5561049,1.579495,1.5088689,1.5596377,1.5438647,1.5374895,1.5369571,1.5344757,1.5515244,1.5116585,1.539341,1.5313436,1.524366,1.5292207,1.5257498,1.5121797,1.5199407,1.5243075,1.5072155,1.5183913,1.5117309,1.4676685,1.4888123,1.4781147,1.4960214,1.5013503,1.4979719,1.4863778,1.4988129,1.4735649,1.4929528,1.4741677,1.4834871,1.4842137,1.515057,1.468051,1.4906824,1.482369,1.4933094,1.4551727,1.4324987,1.4643089,1.448735,1.4383751,1.4548445,1.4527746,1.4279271,1.4681637,1.453216,1.4317853,1.4450228,1.4410853,1.4362069,1.4651457,1.4421839,1.4649577,1.479476,1.4232333,1.4328185,1.3991126,1.4236779,1.4207069,1.4031152,1.3988339,1.4036399,1.4047636,1.413117,1.4257002,1.4131631,1.4270099,1.4187944,1.3885992,1.4160045,1.406499,1.4172112,1.396632,1.4248296,1.4256759,1.3815348,1.3904899,1.3735989,1.3763493,1.3807108,1.3974801,1.411951,1.4114618,1.3940501,1.3886957,1.3694818,1.4028198,1.3761469,1.3734554,1.3711202,1.3677557,1.3756498,1.3863171,1.363017,1.3832825,1.3460616,1.3733783,1.3530489,1.3677208,1.3634881,1.3600936,1.3569298,1.3643667,1.3462334,1.3530954,1.3411086,1.347559,1.3557054,1.342374,1.3383019,1.3408318,1.3178383,1.3351165,1.3516574,1.3602886,1.3327181,1.3164101,1.3239809,1.3469427,1.3534429,1.3567387,1.3400929,1.3457246,1.3374761,1.3422519,1.3293939,1.3181547,1.3318641,1.3058734,1.3147514,1.3022797,1.2872992,1.3168219,1.2837244,1.3008654,1.3306838,1.3165605,1.3169297,1.2855281,1.3107963,1.3232424,1.3047793,1.3029691,1.3069555,1.3058802,1.3137326,1.2884994,1.3069488,1.2817796,1.2784356,1.310405,1.286843,1.2950181,1.2814997,1.2987064,1.2780279,1.2804931,1.2997233,1.2667774,1.2781757,1.2893738,1.258409,1.2595571,1.2516965,1.2576324,1.2534465,1.2649248,1.2469531,0.009977603331208229,0.0777585431933403,0.6318191885948181,0.2595718502998352,0.9384251539334565
ETTh1_VFOAdam_PF_16_Loss,60.179768,58.806374,39.17856,12.329211,5.8850226,4.2565312,3.8787978,3.6935604,3.471592,3.3432422,3.1865184,3.059196,2.9584105,2.8106601,2.745904,2.6481833,2.6087062,2.5073943,2.4711826,2.419041,2.3880045,2.2912006,2.2881713,2.2707922,2.2567382,2.196459,2.1725993,2.1313117,2.1410453,2.1180506,2.1120872,2.086008,2.0829217,2.075668,2.032942,2.0321834,2.0315864,2.0210278,2.0102882,1.9998205,1.9786489,1.9565523,1.9535389,1.9457057,1.9388146,1.9483087,1.9373972,1.9230635,1.9238794,1.9126471,1.9175158,1.912643,1.8958796,1.8870198,1.8949505,1.8577819,1.8586107,1.879669,1.8790816,1.8407954,1.8768032,1.8694696,1.8554028,1.8366281,1.8519956,1.8286806,1.8350304,1.8074905,1.8134208,1.8214868,1.7927655,1.856376,1.7808393,1.7997028,1.8069936,1.775116,1.794979,1.801814,1.759011,1.7615132,1.7892416,1.8004712,1.7607558,1.7546523,1.736674,1.7468508,1.7248877,1.7301656,1.7195187,1.7314827,1.7180312,1.707652,1.704157,1.6743462,1.6990638,1.7109964,1.6881238,1.6460677,1.6781824,1.6797869,1.6848155,1.6530818,1.6727387,1.6468446,1.6246529,1.622,1.6469612,1.6361853,1.6138527,1.6630118,1.639454,1.6364475,1.6224891,1.6059799,1.5893873,1.6028054,1.5930719,1.6008408,1.6124277,1.6094463,1.5917038,1.5467823,1.5745643,1.5460463,1.5767227,1.5467246,1.5794578,1.5521921,1.5578794,1.5534189,1.5491163,1.528353,1.5366839,1.5237266,1.5532576,1.5250056,1.5526872,1.5302501,1.523771,1.51191,1.5199386,1.4958401,1.5120186,1.4998984,1.5036598,1.4886223,1.4848759,1.4900357,1.5143585,1.5052235,1.4777638,1.4855436,1.4827969,1.4745675,1.4671481,1.466499,1.4633431,1.4597564,1.4753608,1.4584118,1.4474438,1.4732311,1.4281881,1.4281211,1.4610853,1.4544858,1.4311504,1.399649,1.4183636,1.4457399,1.4529581,1.4492712,1.4245477,1.4358097,1.4169015,1.4197003,1.4296091,1.410842,1.4170625,1.3977897,1.430142,1.414804,1.4351243,1.4073155,1.3855847,1.3943897,1.3771337,1.3972286,1.395898,1.3762511,1.3683832,1.3754212,1.3724657,1.3892417,1.3850259,1.3611574,1.3756272,1.3420027,1.3752713,1.3657246,1.3340516,1.3421797,1.367716,1.3870401,1.3565965,1.3254344,1.3574601,1.3310429,1.3484205,1.356001,1.3613766,1.3461876,1.3510664,1.3862773,1.3321818,1.346075,1.3519425,1.3405131,1.3452168,1.3297036,1.3559556,1.3291245,1.333707,1.3291625,1.3276273,1.3256308,1.3453591,1.3277326,1.3021895,1.3154742,1.3122199,1.3099151,1.3125627,1.3053015,1.313499,1.3169575,1.3152754,1.2941284,1.2912449,1.3091888,1.3048776,1.26626,1.2913768,1.2957836,1.2933092,1.266355,1.2876868,1.2718282,1.268171,1.2531376,1.2672402,1.297734,1.2723584,1.251585,1.2676413,1.2815502,1.2619647,1.2583487,1.250375,1.2399039,1.251135,1.2452098,1.259837,1.263015,1.2580197,1.2503687,1.2618364,1.2709061,1.2379875,1.2644268,1.2565979,1.2571481,1.2689226,1.2549164,1.2500912,1.2472963,1.2417005,1.2451063,1.2367464,1.233753,1.235468,1.2357056,1.2326735,1.2332026,1.2560496,1.2200465,1.2475283,1.2204714,1.2477132,1.2240926,1.2138838,1.2167608,1.2179903,1.2136016,1.2138011,1.2261497,1.2199473,1.2156148,1.2190896,1.216136,0.009042313322424889,0.07256918400526047,0.3732924163341522,0.25080159306526184,0.9441971145628045
ETTh1_VFOAdam_PF_18_Loss,59.440006,59.302353,37.958256,11.10596,4.946745,3.8435104,3.5615153,3.4156613,3.2300882,3.0686042,3.030127,2.9231362,2.8225238,2.7330148,2.689404,2.6243808,2.5678842,2.5552304,2.4637153,2.455866,2.3938036,2.351714,2.3416882,2.3263183,2.2620173,2.294961,2.2764254,2.2285447,2.2379243,2.2271821,2.228627,2.177495,2.156197,2.1652412,2.155242,2.1508934,2.1241658,2.1090522,2.1196337,2.0918252,2.096512,2.096155,2.0742562,2.078071,2.091461,2.0388765,2.0463355,2.051907,2.0376887,2.0182748,2.013513,2.006893,1.9558696,2.019182,2.0148056,1.992823,1.9736642,1.9757977,1.9529103,1.9387649,1.9398906,1.9108044,1.9312347,1.9098407,1.8956786,1.8951306,1.9020492,1.9032701,1.8825015,1.8885758,1.8734622,1.8700687,1.835419,1.8855609,1.8513848,1.8362151,1.8448735,1.822896,1.8480394,1.8241222,1.827518,1.8438499,1.8326654,1.8124444,1.823114,1.7784368,1.7864788,1.7705724,1.7862797,1.746215,1.7497066,1.7665794,1.758298,1.7387446,1.7722988,1.7192696,1.688798,1.7256582,1.7386642,1.6974299,1.7118115,1.6908729,1.6886832,1.6857903,1.6784004,1.6885568,1.6764208,1.6874272,1.6819729,1.686041,1.6374296,1.6594946,1.6459934,1.633595,1.6116067,1.6457669,1.6161518,1.6150956,1.604707,1.5824344,1.6047775,1.5988878,1.5816041,1.5694592,1.5546851,1.5885572,1.5670888,1.576541,1.5639518,1.5629336,1.52749,1.577293,1.5606159,1.5717142,1.5667611,1.5358543,1.5468113,1.545827,1.5388867,1.5149153,1.5142369,1.4817984,1.5194852,1.4855771,1.5171356,1.5050817,1.5255547,1.5218908,1.5013081,1.4944729,1.48676,1.4892501,1.4741789,1.4737347,1.4700872,1.4798787,1.4742645,1.4993656,1.4618642,1.4601793,1.4782445,1.4600706,1.4823909,1.464373,1.4618756,1.4496228,1.4505104,1.4370979,1.4534079,1.4508893,1.4419817,1.436046,1.4401202,1.4453287,1.4428905,1.4242736,1.4116676,1.4218299,1.4359936,1.4293239,1.4087435,1.415785,1.4104731,1.397525,1.4435304,1.4013155,1.4103565,1.3842545,1.4083414,1.4159999,1.378071,1.4048829,1.3938006,1.408515,1.4113907,1.3765483,1.3777047,1.393154,1.3946159,1.3656319,1.3753755,1.3357255,1.3605156,1.3503933,1.3467665,1.3767246,1.3686601,1.3417645,1.3498491,1.3660406,1.3465041,1.3298194,1.3659256,1.3568077,1.3251026,1.3557965,1.3487229,1.3369225,1.3585466,1.3341486,1.3398486,1.3260132,1.3549753,1.3434585,1.3398343,1.3251145,1.3237371,1.3141946,1.3231198,1.2922196,1.3045936,1.3183751,1.3424369,1.344132,1.316378,1.2829416,1.287783,1.2899733,1.3151898,1.2898426,1.3259702,1.2993013,1.3049335,1.2872462,1.2600974,1.3076774,1.2652059,1.2745917,1.2842673,1.2937862,1.2735521,1.2980473,1.2746187,1.2870151,1.2749244,1.3182688,1.2800473,1.2717639,1.2575775,1.2747629,1.2460754,1.2554992,1.2775289,1.2907786,1.2699628,1.2711285,1.2428976,1.2822678,1.2536312,1.2729948,1.2505412,1.244662,1.2327648,1.2654979,1.2638113,1.2341118,1.2385776,1.2408051,1.2510642,1.2232811,1.2026365,1.2338483,1.236801,1.2489737,1.2433273,1.2415248,1.2394317,1.2156987,1.2044584,1.2216392,1.2389206,1.2180994,1.2437009,1.232171,1.2167302,1.219525,1.2063707,1.2121282,1.1986002,1.2015468,0.009690659120678902,0.07659652084112167,0.482506662607193,0.26184189319610596,0.9401959754400846
