,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304
ETTh1_IFOAdam_PF_04_Loss,52.40051,20.950106,8.527072,5.5075517,5.288664,4.9479747,4.6012034,4.323126,4.0480347,3.8042655,3.5772192,3.3734734,3.196292,3.0524087,2.9495947,2.8989484,2.8772416,2.8555715,2.7843056,2.688262,2.5685546,2.462847,2.3542485,2.2821555,2.1945574,2.1617703,2.0751386,2.0956268,1.9802346,2.0394714,1.906095,1.9680068,1.8306007,1.8859024,1.7766453,1.811034,1.7266161,1.7318196,1.6728309,1.6557093,1.6278478,1.6038203,1.5740645,1.5606477,1.5282468,1.5052263,1.4778056,1.4561188,1.4264548,1.4085351,1.3860116,1.3570813,1.3303487,1.3137358,1.2928282,1.257621,1.2285465,1.199856,1.1685615,1.1389929,1.133069,1.1529223,1.3226513,1.3188292,1.4451103,1.1035756,1.304697,1.324114,1.4326596,1.2674417,1.4948767,1.1339728,1.0749097,1.0311042,0.99372756,1.0917873,1.2079161,1.1366202,0.9732047,0.9604589,1.119863,1.2633082,1.2239513,1.2327058,1.3130801,1.1176351,1.3913674,1.041388,1.0420979,0.9659153,1.1488756,1.172895,0.96394813,0.94638115,0.92788005,1.0654538,1.0477982,0.977149,1.0395242,1.0458244,1.2724878,1.2351152,1.0625648,0.9781122,1.1385096,1.2549366,0.9645933,1.0137434,0.9179147,1.0706998,0.93867207,0.89806277,0.87692505,0.88966936,0.92816395,0.8961541,1.0104543,0.9906043,1.0725878,1.2109171,0.9979035,1.0585358,0.9395866,1.2033691,1.0307103,0.98528945,0.89077675,1.0001489,0.9919193,0.83021945,0.82152504,0.801727,0.8619948,0.8201929,0.88363254,0.91822904,0.94183165,0.9932752,0.93461937,0.96751297,0.9702571,1.0112532,1.1180218,0.9005655,0.9032516,0.90717953,1.0386858,0.8855977,0.9684044,0.85850763,1.1353811,1.0038227,0.86665404,0.8674935,0.8702963,0.9231095,0.81507623,0.8423577,0.8069814,0.9349536,0.83669186,0.85350746,0.8376752,0.93465936,0.944753,0.9093997,0.93489224,1.0208255,1.0285976,1.0402805,1.0064384,0.8477552,0.85524374,0.8770326,0.8700198,0.78039664,0.96183217,0.8664134,0.7811154,0.75622416,0.8234041,0.8667015,0.79140526,0.8424414,0.8574775,0.9988015,0.8495229,0.86955446,0.83471304,1.020498,0.845056,0.8727985,0.86371696,0.9346661,0.92305946,0.9144322,0.9751065,0.8966859,1.0262265,0.84841317,0.94384587,0.86193436,1.0505325,0.78605676,0.7568547,0.74747866,0.83905524,0.7736047,0.75674534,0.7342889,0.7923282,0.7933274,0.7744044,0.8143722,0.88351715,0.94140095,0.8092989,0.83586484,0.79393584,0.98602897,0.77068365,0.85098577,0.7645524,0.82986915,0.7475097,0.7750115,0.7645826,0.83391446,0.8992254,0.8348425,0.7785773,1.0559542,1.2280717,1.1565126,0.968611,0.9736882,0.91909075,0.8735847,0.8150655,0.81305605,0.81024545,0.8123609,0.8653422,0.80667293,0.74776626,0.7209568,0.7070213,0.69561917,0.6936398,0.6942917,0.6909718,0.6997649,0.70896655,0.70388424,0.6990454,0.73530585,0.77800655,0.72541475,0.7493435,0.7263904,0.78462917,0.8350559,0.78215045,0.84988564,0.86588335,0.72925365,0.7200655,0.75083834,0.7092719,0.7709221,0.73022556,1.0108597,0.9243628,1.0562288,0.82571083,0.7014813,0.71077603,0.7426378,0.7562772,0.70766234,0.74946976,0.75175256,0.72734594,0.78397685,0.7499876,0.80964434,0.78169334,0.8486337,0.86558414,0.7225781,0.89620495,0.796113,0.9304337,0.85126764,0.8921605,0.7280318,0.80070776,0.69855875,0.6906197,0.68013954,0.006608267314732075,0.05757633596658707,0.3734813630580902,0.2031797468662262,0.959218358332534
ETTh1_IFOAdam_PF_06_Loss,59.736397,30.908115,13.466964,6.7562337,5.7607994,5.7543225,5.1626124,4.806812,4.453219,4.143459,3.8701935,3.6204376,3.398688,3.1983805,3.0212073,2.8645878,2.734759,2.6388836,2.5867257,2.5602875,2.5206778,2.4502037,2.3538508,2.2748399,2.1776175,2.1209757,2.058139,2.0234187,1.9741204,1.9326341,1.9209019,1.8781614,1.868405,1.8302625,1.821198,1.7750463,1.7548245,1.705923,1.6706847,1.6338811,1.6151586,1.5863796,1.5647603,1.544395,1.5311905,1.5142876,1.4770998,1.4422817,1.414516,1.3958502,1.365642,1.3318357,1.2911485,1.2513726,1.2196703,1.1846778,1.1586684,1.2031835,1.357165,1.526361,1.3812469,1.2398736,1.1358801,1.1560056,1.1611538,1.5485874,1.3148292,1.9642584,1.1853464,1.1102606,1.093415,1.0801929,1.2276086,1.2838577,1.1384021,1.0434493,1.0343356,1.046759,1.0098171,0.97388965,0.9852758,1.175752,1.0496261,1.2143269,1.117474,1.4010732,1.2582487,1.4377422,1.1358778,1.2276672,1.128961,1.0260501,1.1553056,1.3516796,1.0835336,0.93251866,0.8984209,0.9212591,0.90584666,0.8875449,0.9028621,0.95788187,0.943136,0.92911875,0.91178036,1.085456,1.1874142,1.4363254,1.2900614,1.5771294,1.122386,1.0884981,1.0636634,1.202752,1.1431371,0.98982364,0.92327046,0.89923346,0.8757927,0.8405242,0.87619185,0.87145346,0.83144355,0.84339327,0.8658508,0.8583656,0.86815315,0.87334096,1.1097583,1.0580757,1.2502747,1.156211,1.2572639,1.1606412,0.99027646,1.2229595,1.0470876,0.87350035,0.8347977,0.80515754,0.82602227,0.80767006,0.7883813,0.79126525,0.81357294,0.809749,0.80535054,0.8517465,1.0281692,0.98215216,1.0435807,1.1099162,1.1950816,0.96100193,0.94698745,1.0952157,1.050726,0.87477416,0.8310733,0.981955,1.001946,0.82815546,0.7980191,0.8225682,0.9222034,0.85026187,0.8576119,0.8559185,0.9449916,0.99922687,0.94580346,0.9654871,0.97091925,1.1051581,1.0453198,0.95486575,0.81919956,1.0092019,0.9485862,0.8048702,0.7649182,0.8150727,0.83759767,0.7986003,0.85629827,0.81881964,0.9056544,0.8154442,0.963991,0.88533616,1.1103337,0.94053394,1.0399243,1.0718492,0.98870665,1.0584601,0.85993457,0.95368886,0.84311646,0.9904946,0.799857,0.7383861,0.72774106,0.75979894,0.74153435,0.7519465,0.761085,0.7716872,0.77011573,0.7729623,0.88552594,0.8192933,0.8617804,0.9472715,1.0063428,0.8777879,1.1425601,1.0172043,1.1102419,0.9822594,0.80604607,0.87652236,0.7738625,0.7351167,0.72156334,0.78359026,0.7722568,0.736791,0.73045343,0.77399546,0.8362077,0.81519574,0.7721974,0.96662766,1.1485597,1.326672,0.9628332,0.77185136,0.7535267,0.75234526,0.71461993,0.7056309,0.71300465,0.723292,0.72617227,0.80790216,0.7836328,0.83426464,0.72338426,0.86080426,0.7963298,1.0667981,1.1303518,1.4080523,0.8407886,0.72748214,0.7364851,0.7717763,0.7049729,0.69316924,0.7075122,0.7403182,0.7221166,0.720473,0.7676495,0.7815547,0.8303461,0.79747707,0.8307618,0.8088951,0.9441611,1.011324,0.8789818,0.8607644,0.9202573,0.9722421,0.8399484,0.8560646,0.7610551,0.9045082,0.7888275,0.7341082,0.70898634,0.78731257,0.77162147,0.7399603,0.75305533,0.78817046,0.85403043,0.77380335,0.7894474,0.7915033,0.961765,0.82005566,0.8701824,0.84601396,0.9442478,0.84981495,0.82451,0.8488971,0.006640046834945679,0.0578630156815052,1.537345051765442,0.20449437201023102,0.9590222346779077
ETTh1_IFOAdam_PF_08_Loss,53.2476,20.811972,8.245441,5.3675323,5.196006,4.823888,4.539941,4.284321,4.020213,3.788722,3.558108,3.3567932,3.1791687,3.061801,2.9950297,3.0111988,2.9218993,2.9308763,2.7298875,2.8149486,2.6146767,2.9899993,2.9426498,3.696825,3.8115878,4.2802267,3.4897966,3.0190082,2.2937706,1.9771241,1.8981328,1.799195,1.7738059,1.7341146,1.7509109,1.7243328,1.8268769,1.7859782,1.913426,1.8079354,1.8650821,1.7264085,1.7765985,1.6418142,1.7478839,1.6001152,1.7471136,1.5787712,1.7319379,1.5549848,1.6715509,1.5038116,1.6066978,1.4505514,1.5288446,1.4064404,1.4404842,1.3704607,1.3778212,1.3453825,1.3288565,1.3128095,1.2879348,1.2652503,1.2494884,1.2273833,1.2002348,1.1683121,1.1374775,1.1178249,1.1203156,1.196336,1.2524924,1.2896848,1.1372476,1.1128647,1.0402756,1.231324,1.1702242,1.7095748,1.2942648,1.505999,1.0580589,1.0077871,1.0484045,1.267043,1.3898033,1.2058517,1.0784762,1.0881748,1.0822749,1.0155424,0.95863557,0.96990246,1.0053942,0.967359,0.97337633,0.97573483,1.1353685,1.3538541,1.3335013,1.2658002,1.3964686,1.0219479,0.96509296,1.2179232,1.3974093,1.0963775,0.9431231,0.89670444,0.9093008,0.925241,0.9126734,0.8810283,0.9701664,0.990594,0.9658219,1.1029241,1.1145369,0.88150275,1.0232099,1.0516369,1.4871736,1.123664,0.899118,0.90382314,1.0689826,1.046273,0.9113334,0.8832511,0.9522664,0.9604865,1.0911644,0.9284943,0.96073896,1.0074482,1.1911879,1.2312362,0.92898107,0.8825184,1.0619023,1.1571016,0.9410604,0.9372674,0.88160795,1.0181483,0.980507,0.92455673,0.9391203,0.9555364,1.1225148,0.9416675,0.9918528,0.9014088,1.0517122,1.0609169,0.8970552,0.8959255,0.91683275,1.0403507,0.88579494,0.9345282,0.8779828,0.9954333,0.9917845,0.8956919,0.8960144,0.968273,1.1160915,0.8894652,0.93790394,0.86613715,1.0204096,0.901014,0.9044328,0.8515405,0.94313145,0.9845883,0.85061276,0.8740242,0.88867944,1.0276084,0.89034814,0.91956043,0.87872314,1.0290064,0.9623188,0.8727204,0.85520697,0.95066226,0.98415744,0.840057,0.8688202,0.88528955,0.9926564,0.8873721,0.9396592,0.864032,1.009613,0.9292334,0.8943714,0.828598,0.9469465,0.9485306,0.8273741,0.8302835,0.87700474,0.95645857,0.826961,0.86100465,0.84969974,0.97992754,0.86266553,0.88871366,0.85382277,0.9961987,0.91997284,0.84137577,0.8171183,0.91711,0.91635084,0.8105083,0.8391529,0.88085693,0.9910881,0.8469744,0.8694287,0.8446559,0.98049164,0.8694362,0.9054684,0.8231643,0.94366556,0.8805764,0.82825786,0.7952003,0.88529766,0.90919286,0.79412013,0.8053456,0.8680075,0.952,0.8142999,0.8473186,0.8494099,0.95120317,0.86178887,0.9007937,0.836749,0.95939344,0.8627568,0.8443384,0.8049604,0.9262015,0.8399752,0.7868252,0.7864436,0.889542,0.8745455,0.7823085,0.80357015,0.8621209,0.9342677,0.80987525,0.8364504,0.86589706,0.9609478,0.8330881,0.8790116,0.82972366,0.9397134,0.8263657,0.902298,0.8001934,0.9381678,0.8026471,0.82824206,0.76482785,0.88697237,0.8012758,0.77993,0.7650819,0.8510251,0.858909,0.7583186,0.779062,0.8233555,0.9245028,0.8259221,0.81831306,0.8203096,0.89426196,0.86571616,0.83870614,0.8049223,0.8760997,0.84228337,0.79510486,0.78562325,0.88205427,0.0072545879520475864,0.06067362427711487,0.3523044288158417,0.2125341147184372,0.9552297190087686
ETTh1_IFOAdam_PF_10_Loss,46.53534,17.4617,6.8162847,5.2979646,4.8521023,4.5327015,4.300574,4.0679097,3.8332753,3.6030593,3.3791037,3.1791368,3.0486295,3.1445353,3.1426976,3.3108053,3.0543258,3.1769018,3.0698962,3.5804453,3.8599167,4.414072,3.9144943,3.529134,2.637208,2.212117,2.0257428,1.9077759,1.8822176,1.8499285,1.8716611,1.8918833,1.9716948,1.959307,1.9869803,1.8998929,1.8950514,1.7846403,1.8391048,1.7245656,1.8755131,1.7295645,1.9551932,1.7839067,2.0523753,1.9127007,2.245135,2.2182033,2.576726,2.594605,2.6688366,2.40846,2.109356,1.8106803,1.6160676,1.5024071,1.4845028,1.4240352,1.4818746,1.4124789,1.5177946,1.4360975,1.5391132,1.4435229,1.5204982,1.4198763,1.5053401,1.4043537,1.5126276,1.3987185,1.504987,1.3821049,1.4678153,1.3476974,1.4250107,1.3120925,1.3906239,1.2740502,1.3266088,1.2275281,1.2553513,1.1840394,1.1789196,1.144043,1.1249202,1.1039714,1.0891395,1.0730356,1.0600545,1.0572157,1.0641295,1.07159,1.06784,1.0709416,1.0829889,1.0840191,1.0226938,1.004466,0.9982583,1.0587158,1.173725,1.383787,1.2330091,1.6466027,1.3161652,1.2340255,1.2442249,1.2171202,1.2683288,1.5415665,1.5253435,1.3051347,1.0767205,1.1393192,1.1847075,1.2075832,1.4053502,1.5308642,1.3590355,1.0709743,0.95559853,0.96888787,0.9957832,1.0813066,1.1196778,1.0997984,1.0157408,0.9243177,0.90680754,0.9197424,0.93923056,0.92634106,0.8985455,0.89064837,0.8997754,0.8972625,0.8835983,0.89068496,0.9263505,1.0602306,0.96184796,1.0525453,1.0371618,0.986635,1.0841265,1.0490154,1.2778357,1.3510956,1.1085402,0.9908768,0.9884577,1.049984,1.1055982,1.0065641,0.9320861,0.8904094,0.85191494,0.897825,0.92278427,0.86143273,0.843453,0.85600775,0.8690789,0.9864678,0.9225975,0.94292086,1.011921,1.0092171,1.3383816,0.993213,1.109643,0.97007513,1.033112,1.1190689,0.9636209,0.8917409,0.8495936,0.816084,0.8572392,0.89323676,0.83584243,0.81151175,0.81693375,0.8268021,0.93149745,0.89305925,0.867492,0.9480655,0.9226928,1.2156006,0.9666616,0.98518306,0.8948012,1.0000485,1.1260874,0.90753824,0.8752095,0.8230067,0.8634052,0.9156622,0.81739306,0.79586756,0.79365003,0.83154607,0.95497274,0.8509239,0.85117376,0.8766203,0.9139728,1.1357234,0.87635976,0.9318075,0.8433326,0.97580844,0.9662854,0.8331128,0.83443356,0.8243456,0.932192,0.87627393,0.83589315,0.82557374,0.86252046,1.0236678,0.8594426,0.8810332,0.81681883,0.91336465,1.0340828,0.83199245,0.8535816,0.8054758,0.92093736,0.87616634,0.80303746,0.80511135,0.8438811,0.97340393,0.85928226,0.8618654,0.82761246,0.9111351,1.0434022,0.8315352,0.86807525,0.8102362,0.9412001,0.8612957,0.81142646,0.79039377,0.8303251,0.92488873,0.8091056,0.8206627,0.7945599,0.8685324,0.97692376,0.7973848,0.81310904,0.79402107,0.9051517,0.893904,0.7871126,0.7931399,0.82484114,0.9561462,0.8111733,0.8137757,0.80336654,0.8611141,0.97636706,0.79008377,0.82573354,0.80586326,0.9295782,0.8849388,0.80218685,0.80080724,0.82962245,0.95555454,0.8066446,0.8100439,0.7785779,0.86120534,0.93646705,0.7743679,0.78255135,0.7772706,0.8753155,0.84412867,0.7661641,0.7742403,0.80283034,0.937237,0.79689634,0.7950124,0.79966754,0.86903083,0.9723375,0.79361826,0.007266785949468613,0.060846664011478424,0.2832714021205902,0.21202829480171204,0.9551544390519852
ETTh1_IFOAdam_PF_12_Loss,54.45746,24.77822,9.916269,5.5332437,5.2540164,5.1047587,4.6985483,4.413081,4.134085,3.8820603,3.6584857,3.4530432,3.273571,3.1094136,2.9694462,2.8516564,2.769867,2.7241275,2.710018,2.7010548,2.6549273,2.6000686,2.5080972,2.4513268,2.3435628,2.3332267,2.2112448,2.267068,2.1196501,2.2506938,2.0567608,2.2100778,1.9958526,2.1824772,1.9483188,2.1415493,1.8919568,2.0529382,1.8244526,2.001346,1.773128,1.9253412,1.715323,1.8230251,1.6529179,1.7031162,1.6015475,1.6202238,1.5774672,1.5799814,1.5686308,1.5673392,1.545018,1.5163273,1.4965843,1.467492,1.4455181,1.4199361,1.4016199,1.3849988,1.3582026,1.3355566,1.3065968,1.2639359,1.2239436,1.210248,1.2674215,1.4268688,1.5278971,1.4209498,1.1944766,1.1560091,1.1431947,1.1844722,1.3089124,1.3912101,1.6114265,2.2041554,1.3663167,1.271488,1.2042145,1.1053482,1.0747572,1.0355642,1.0387936,1.113439,1.1998211,1.1679186,1.0377316,0.9917546,1.0510237,1.0362544,1.1214685,1.0748997,2.1089227,1.9662308,2.1288726,1.4510028,1.4919372,1.3073984,1.135027,1.3878478,1.3944101,1.1561322,1.5476062,1.7223692,1.5962114,1.2125795,1.031629,1.029328,1.0313615,1.0556092,1.1389662,1.2021297,1.175065,1.0695723,0.96955216,0.9587554,0.9695893,1.005184,1.0454296,1.0026081,0.9434661,0.9209303,0.92542726,0.94825506,0.9672685,0.96486515,0.9788639,1.0115923,1.0105765,0.93393433,0.91865206,0.912435,0.97919536,1.0571209,1.1518682,1.4022317,1.8380879,1.0308309,0.9129873,0.9075438,0.88550174,0.8792798,0.8702086,0.85547984,0.8437808,0.8731312,0.9306609,0.9231309,0.8788772,0.86789596,0.94353867,1.1144881,1.2722139,1.1572353,1.5146062,1.0583831,0.9377719,0.9472778,1.1926484,1.1234972,0.92865443,0.84114945,0.8167432,0.8148962,0.80909294,0.83356965,0.8053354,0.96892524,0.88475114,1.1998118,0.92678666,1.1698252,1.0024635,0.8976943,0.9376459,1.1739596,0.9145017,0.8274043,0.8874381,1.0628792,1.0736244,0.8909496,0.8274821,0.8681644,0.86226964,0.8246812,0.8667831,1.0033423,0.91235834,0.8774231,0.8906395,0.9727336,1.0958856,1.1110784,1.3472254,0.96861583,0.91801757,1.009205,1.2154591,0.9465554,0.87625706,0.8173773,0.775457,0.7899781,0.7935935,0.7727594,0.762687,0.8222416,0.78479815,0.8846695,0.82091266,1.1884438,1.1273867,1.3304201,1.0429242,1.0291823,1.127331,1.0740136,1.0348015,1.1171577,1.0546216,0.9962184,0.9016508,0.928438,0.95032007,0.95584494,1.0945748,1.1302918,1.0912472,0.9716528,0.87212163,0.9381271,0.9586087,0.99792683,1.1555923,1.1728462,1.0721521,0.87831223,0.84937,0.93056583,0.964673,1.0429776,1.1265174,1.1076813,0.9765621,0.8255624,0.85302615,0.8934096,0.9531011,1.0675249,1.1078383,1.0652887,0.91100085,0.79837835,0.8229483,0.86315393,0.94412076,0.987118,0.9991558,0.9428533,0.8282684,0.77095544,0.7759674,0.79627603,0.8411099,0.7862465,0.7550885,0.74672323,0.7541272,0.78144914,0.8061983,0.7984269,0.78977937,0.773124,0.7649769,0.7328056,0.7395457,0.7204986,0.7600129,0.74069726,0.7804864,0.8009677,0.9059475,0.75605375,1.1352918,0.9534726,1.1998239,0.81788754,0.88193923,0.87314236,0.97331166,1.0497733,0.78875595,0.74002284,0.7854296,0.8683424,0.77401847,0.7134885,0.006948629394173622,0.05907971039414406,0.26812544465065,0.20705804228782654,0.9571178762338202
ETTh1_IFOAdam_PF_14_Loss,51.19807,22.07776,8.421053,5.279368,4.923569,4.680919,4.441972,4.240536,4.022667,3.8239357,3.6213787,3.429691,3.258375,3.1539,3.1159837,3.2544897,3.1808097,3.3204942,3.099566,3.3848045,3.4039214,4.1203933,4.4450016,5.0145774,3.989269,3.6036763,2.649355,2.3608704,2.1759152,2.0687516,2.0347583,1.9820306,1.9844766,1.9733006,2.0672538,2.0469441,2.1853027,2.0906138,2.1716065,2.0282047,2.1261032,1.9937801,2.2226236,2.1220787,2.512013,2.5133567,2.958287,2.9537141,3.0453088,2.6372817,2.3117113,1.9461421,1.7582781,1.645299,1.6227876,1.5725704,1.6375945,1.5788592,1.7246771,1.6411101,1.8074613,1.6870642,1.7988163,1.6867547,1.8277729,1.7295188,1.9075859,1.8119043,1.9904557,1.9214303,2.0640347,2.0002193,2.0561755,1.9577193,1.931715,1.8130062,1.7754537,1.6628076,1.6599011,1.5663766,1.6007265,1.5142353,1.5675138,1.4815607,1.5433769,1.4573995,1.5234479,1.434015,1.5105563,1.4171124,1.4936451,1.3995377,1.4812653,1.3795434,1.458099,1.3508452,1.4285585,1.3202995,1.3942747,1.2878406,1.3419791,1.2403438,1.2802507,1.1909987,1.2215936,1.1636533,1.1535666,1.1227062,1.0910739,1.0708982,1.062986,1.0570775,1.0463843,1.0447848,1.0609246,1.0730878,1.0599529,1.0515699,1.0631379,1.1773555,1.185654,1.1117787,1.2135285,1.2032489,1.1335276,1.1167284,1.2482557,1.607104,1.184844,1.066619,1.02793,1.0112759,1.1050866,1.1443108,1.0309422,0.94969565,0.91679424,0.9136757,0.9357257,0.9508195,0.9146739,1.0907178,1.0463806,1.1839049,1.2154073,1.1415112,1.098339,0.98479104,1.2838959,1.3211842,1.0331687,0.9327632,0.90498155,0.9494567,0.949285,0.8966338,0.8516837,0.873031,0.87217516,0.9452293,0.94784904,1.0229914,1.0733305,1.279656,1.181038,1.2088583,1.1380582,1.012462,1.1470205,1.2522886,1.022203,0.925045,0.86259866,0.848306,0.85835326,0.90458703,0.8839435,0.8247943,0.8276,0.83982545,0.8734455,0.90894806,0.8827885,1.0644276,1.0642245,1.1437976,1.3157037,0.95493865,0.9441413,0.8828346,1.0462196,0.9841509,0.85109836,0.82105136,0.81456,0.88123643,0.92321396,0.8255642,0.8880851,0.8838577,1.0188929,1.113034,0.8869642,0.88108736,0.89674765,1.1010273,1.1022668,0.88579917,0.84346676,0.89506733,1.0006534,0.87360555,0.85190743,0.8278664,0.88868845,1.0230728,0.8600169,0.88135237,0.86582226,0.9728087,1.1056142,0.8582465,0.8654844,0.8384774,0.99196285,0.93990475,0.8531934,0.8442527,0.87635636,1.0308844,0.8794291,0.8677613,0.8196075,0.9075952,1.0355207,0.8297892,0.8398634,0.81450444,0.94043016,0.9679175,0.82471156,0.8342929,0.8361683,0.97264737,0.8966498,0.8358325,0.82452655,0.886158,1.0458212,0.8350212,0.85712963,0.815682,0.9647841,0.9858075,0.817605,0.82485425,0.8252852,0.9606861,0.8573178,0.8470947,0.8176427,0.8891014,1.021012,0.8084115,0.82405806,0.7906169,0.89762163,0.9097155,0.79298645,0.7994178,0.8131536,0.9374777,0.86090875,0.810685,0.81411904,0.86484563,1.0240047,0.8129277,0.8418198,0.81122416,0.93757224,0.9512077,0.8029875,0.7897434,0.8145,0.9197977,0.8139366,0.8148887,0.7941822,0.8694096,0.9864857,0.7900873,0.8062969,0.78275007,0.8883097,0.90297866,0.7738107,0.7854193,0.8042679,0.91774315,0.007308874279260635,0.06062791869044304,0.29205235838890076,0.21370482444763184,0.9548946980093918
