,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,500,501,502,503,504
ETTh1_VFOGD_PF_06_Loss,42.826645,25.002281,14.517793,9.656647,7.5847764,6.600712,6.0642943,5.7187905,5.472741,5.2827673,5.1244364,4.992013,4.8741307,4.7697806,4.674366,4.5882916,4.5073814,4.4332786,4.3642364,4.29759,4.2344747,4.1751757,4.1178436,4.0640182,4.0123277,3.96344,3.9139729,3.867012,3.8231487,3.7802374,3.736632,3.697945,3.6565578,3.6204078,3.5825918,3.5449927,3.5084794,3.4725955,3.4393706,3.407169,3.3732772,3.342746,3.3114083,3.279423,3.250758,3.2215574,3.1928763,3.1659927,3.1364183,3.110723,3.0849261,3.0585268,3.0319533,3.006928,2.9834592,2.9597652,2.9348154,2.913921,2.8908303,2.8675861,2.846706,2.8253458,2.8026023,2.7848656,2.7646255,2.7430153,2.7228427,2.7034497,2.6871946,2.667335,2.649099,2.6299536,2.6130397,2.594614,2.5773313,2.5613236,2.5466976,2.5304434,2.5139813,2.498439,2.481648,2.4677565,2.4516194,2.4390225,2.4249527,2.410591,2.397007,2.3826635,2.368294,2.3558822,2.3437614,2.3284073,2.3159804,2.304248,2.2946372,2.280299,2.2674608,2.2568502,2.2463107,2.235344,2.2242835,2.2132094,2.201865,2.1905248,2.1806448,2.1704063,2.158547,2.1494558,2.1401083,2.1289132,2.1191132,2.1113482,2.1003852,2.0927584,2.0844064,2.0747237,2.0648544,2.0553231,2.0467808,2.040584,2.0297897,2.0239034,2.015751,2.0051725,2.0006857,1.9894084,1.9815608,1.974561,1.966034,1.9584116,1.9518389,1.9450747,1.9382976,1.9289609,1.9241388,1.9182811,1.9077189,1.9032786,1.8940656,1.8888899,1.8805093,1.8748018,1.8679749,1.8625183,1.8544906,1.8480768,1.8453664,1.8378593,1.8293749,1.82694,1.8197057,1.813757,1.8077639,1.8020124,1.7955517,1.7916074,1.7823584,1.7773945,1.771764,1.7655044,1.7625339,1.7553396,1.7508924,1.7452428,1.7392423,1.7342694,1.729498,1.7231073,1.7200917,1.7145795,1.7103515,1.7065586,1.7016466,1.6933047,1.6907082,1.6851858,1.681216,1.6757219,1.6715229,1.664838,1.6637936,1.6581867,1.652379,1.6475374,1.6442678,1.6377712,1.6359268,1.6315291,1.6249926,1.6205888,1.6178482,1.6127584,1.6094643,1.6073806,1.5998846,1.5982077,1.5922536,1.5877393,1.5857645,1.5804806,1.5784061,1.5734788,1.5696865,1.566322,1.5611335,1.5602508,1.5544667,1.5508087,1.5491033,1.5428551,1.5389246,1.536033,1.5325842,1.5286243,1.5254569,1.5213486,1.5195088,1.515037,1.5126363,1.5079132,1.5046631,1.5034721,1.4972665,1.4939514,1.4911602,1.4875863,1.4840597,1.4804103,1.4805131,1.4740114,1.4741681,1.4686464,1.467916,1.4613411,1.4596143,1.4562427,1.4545897,1.451619,1.4461112,1.4450719,1.4421153,1.4379463,1.4377453,1.4332262,1.4303266,1.4281092,1.4252114,1.4198914,1.4205452,1.4167835,1.4126832,1.4088222,1.4078563,1.4037617,1.4024189,1.3997227,1.3958405,1.3929739,1.3916028,1.389625,1.3847314,1.3825796,1.3792138,1.3792512,1.3748218,1.3716139,1.3724583,1.3674136,1.3674035,1.3624767,1.3590319,1.3592119,1.3541971,1.3528073,1.3497746,1.3479875,1.3478128,1.3426385,1.3404356,1.3378899,1.3349401,1.334544,1.3314055,1.330676,1.3269517,1.3260812,1.3221451,1.3190945,1.3168821,1.3169904,1.3149729,1.3108811,1.3086683,1.3060093,1.3043913,1.3037891,1.3015071,1.2993807,1.2980549,1.2959148,1.2930446,1.2890866,1.2888421,1.2865514,1.2829603,1.2797165,1.278218,1.2764783,1.2737111,1.2724131,1.2705464,1.27029,1.2661619,1.26426,1.2624537,1.2594366,1.2600644,1.2566016,1.2562474,1.2543184,1.2505637,1.2482787,1.2462789,1.2473191,1.2422119,1.2410156,1.238456,1.239065,1.235122,1.2355098,1.2326888,1.2299831,1.2270721,1.2287948,1.2244583,1.2245724,1.2204306,1.221635,1.2198019,1.2174681,1.2127621,1.2117063,1.2102877,1.2075514,1.2064477,1.2046381,1.2029529,1.2036844,1.2025193,1.1979036,1.1965749,1.1974324,1.1929057,1.1910819,1.1919714,1.1908528,1.1864357,1.186825,1.1828861,1.1818104,1.1810778,1.1785865,1.1769987,1.1779712,1.1730615,1.1718156,1.1706021,1.1712835,1.16979,1.1656549,1.166625,1.1648853,1.1613078,1.1599581,1.1582537,1.1587914,1.1576099,1.1531323,1.1533253,1.1509206,1.1492348,1.150207,1.1465609,1.1447273,1.1432167,1.1421756,1.1434577,1.1391664,1.1379001,1.1364927,1.1374102,1.1337385,1.1321155,1.1308616,1.1321903,1.1304638,1.1290982,1.1263136,1.1266981,1.1246845,1.1222467,1.1220325,1.1176189,1.1172445,1.1183821,1.1166852,1.1128894,1.1119962,1.1107004,1.1093645,1.1070755,1.1096154,1.1048461,1.1040713,1.102784,1.104532,1.0994427,1.1019176,1.0978963,1.098701,1.0950471,1.0941082,1.0924702,1.0945736,1.0895153,1.0892904,1.08767,1.0866845,1.0852095,1.0869642,1.0860474,1.0818977,1.0798876,1.0793465,1.0784795,1.0783012,1.078752,1.075915,1.073848,1.0747976,1.0744038,1.0703387,1.0692537,1.0707008,1.0665543,1.0687575,1.0675803,1.062642,1.0615357,1.0609964,1.0595802,1.0589565,1.0576624,1.0562675,1.0585179,1.0541129,1.0536482,1.0525292,1.0505282,1.0504057,1.0503912,1.0481509,1.0502596,1.0489572,1.0447829,1.0471256,1.0430368,1.0413964,1.0407778,1.0396453,1.0417008,1.0406414,1.0365357,1.0355316,1.0348134,1.0368041,1.0322198,1.0341355,1.0336279,1.0328745,1.0316943,1.0274383,1.0278665,1.0255892,1.0277706,1.0239522,1.0252728,1.0216736,1.02407,1.0200756,1.0213729,1.0191679,1.0162666,1.0153227,1.0184073,1.0167007,1.0132984,1.0120928,1.0115441,1.0096483,0.011199074797332287,0.07799134403467178,0.31175100803375244,0.2682214081287384,0.9308870775999804
ETTh1_VFOGD_PF_08_Loss,42.996445,20.744415,10.766874,7.156337,5.938085,5.4461145,5.1726403,4.975967,4.817783,4.6783347,4.558661,4.4488645,4.3492017,4.255812,4.173126,4.09285,4.0209017,3.9504256,3.8854446,3.8240616,3.7658267,3.7096872,3.6573894,3.6069787,3.5575004,3.5086508,3.4635718,3.4184196,3.3770387,3.3354378,3.2927108,3.2557113,3.2176888,3.1785553,3.1415477,3.1058474,3.07335,3.039378,3.0050936,2.9716823,2.9410064,2.911837,2.8811798,2.8509207,2.821595,2.7945158,2.767111,2.7371004,2.7116916,2.6847098,2.6593409,2.6345634,2.6099808,2.5884082,2.5636256,2.5420194,2.5194776,2.4969432,2.474039,2.4537141,2.4334395,2.4118872,2.3932471,2.3722134,2.3537755,2.336914,2.3168118,2.3007276,2.2837183,2.2650163,2.249286,2.2307527,2.2164161,2.1993628,2.1835687,2.167254,2.1529102,2.13908,2.1246734,2.1101546,2.0969348,2.0815632,2.0710232,2.055426,2.0431523,2.0293174,2.0182652,2.005018,1.9939498,1.9811295,1.9699395,1.9604914,1.9487125,1.9357713,1.9273334,1.9154394,1.9040498,1.8943428,1.8854948,1.8729806,1.8627187,1.8543779,1.8433127,1.8343384,1.8245947,1.8154265,1.8071826,1.7983097,1.7887509,1.7814745,1.7719524,1.7630017,1.7576659,1.7466484,1.7403711,1.7330438,1.7239592,1.7151287,1.7099227,1.6999071,1.6938558,1.6864514,1.6793036,1.6715807,1.6665398,1.6574901,1.6521248,1.6433612,1.63866,1.6325613,1.6260241,1.6195496,1.611565,1.6043594,1.5976294,1.5914922,1.5877548,1.5802618,1.5748078,1.5688533,1.5628064,1.5584131,1.5533048,1.5452193,1.5415424,1.5337013,1.5311828,1.5253366,1.5184336,1.5127195,1.5094382,1.5036526,1.4973874,1.4942472,1.4898232,1.4820383,1.478463,1.4728311,1.4700311,1.4658569,1.4595826,1.4546119,1.4516141,1.4469633,1.4411447,1.4373174,1.4329993,1.4286419,1.4243478,1.4214907,1.4168485,1.4126333,1.4072958,1.4045631,1.3994955,1.3943872,1.3915589,1.3872101,1.3838235,1.3809142,1.3757849,1.3723581,1.370056,1.3663357,1.3597982,1.3566,1.3555615,1.3514228,1.3459041,1.3424762,1.3411813,1.3359671,1.3328097,1.3313133,1.327984,1.3247564,1.3191993,1.3176214,1.3149968,1.308883,1.3072314,1.3035383,1.2995138,1.2971878,1.2934711,1.2906989,1.2881571,1.2844292,1.2823813,1.2792565,1.2762518,1.2733654,1.2705072,1.267033,1.2652597,1.2614385,1.2594119,1.2568476,1.2532392,1.2515504,1.2493382,1.2461482,1.2425321,1.240996,1.2373418,1.2376759,1.2322596,1.2306945,1.2276071,1.2257049,1.2237754,1.220773,1.2174826,1.214953,1.2140225,1.2130667,1.2078767,1.2056385,1.2032799,1.202344,1.1994793,1.1994784,1.1949396,1.1948191,1.1921632,1.1875122,1.18574,1.1855525,1.1810086,1.1818616,1.1773188,1.1770447,1.1724901,1.1708384,1.1689113,1.1687286,1.1647005,1.1620656,1.1600286,1.158682,1.1567373,1.1546633,1.1551656,1.1510379,1.1488715,1.1466734,1.1449978,1.1430436,1.1413053,1.1395512,1.1372288,1.135396,1.1362654,1.1319724,1.1302816,1.129107,1.1265072,1.1247219,1.1231575,1.1238476,1.1193048,1.1180186,1.1180613,1.1142788,1.1134523,1.1110755,1.1118536,1.1076039,1.1057056,1.104307,1.1028429,1.1007603,1.0991176,1.1004586,1.0982647,1.0947239,1.0930678,1.091498,1.0926015,1.087995,1.0867009,1.0852864,1.0837909,1.0842175,1.0807214,1.0792161,1.0802939,1.0788927,1.0753859,1.0733298,1.0724487,1.0695425,1.0682932,1.0701541,1.0652882,1.0644032,1.0659474,1.061836,1.0604163,1.0586482,1.0568328,1.0583379,1.0570627,1.055659,1.0549663,1.0509529,1.0491515,1.047575,1.0496951,1.0461768,1.0470864,1.0429653,1.0437424,1.0399921,1.0383044,1.0378156,1.0393822,1.0346799,1.0334446,1.03484,1.0312946,1.0302403,1.031105,1.0306717,1.0259846,1.0252249,1.0239687,1.0227021,1.0213331,1.0227146,1.0193425,1.017604,1.0199583,1.0158879,1.0176846,1.0127047,1.0116005,1.0142242,1.0101194,1.0119534,1.007711,1.0067449,1.0056078,1.0038846,1.0055215,1.0022994,1.0004421,1.0031315,1.0020739,0.9979385,0.99992406,0.9988622,0.9946946,0.99347293,0.99559045,0.9922652,0.98974717,0.9893911,0.98784244,0.98740995,0.9885831,0.9884593,0.98417693,0.9864345,0.98222446,0.9843967,0.9796761,0.9815498,0.977706,0.97703683,0.9762636,0.9759646,0.9775284,0.9765972,0.9756132,0.97466683,0.97039443,0.96910495,0.9685494,0.9675062,0.96653545,0.96635383,0.9641852,0.9637721,0.9625268,0.9652302,0.96110046,0.960172,0.96159655,0.9583231,0.9597365,0.9572565,0.95522004,0.9580476,0.95308304,0.95259243,0.9519525,0.95183015,0.950255,0.9494609,0.95185816,0.9474377,0.94917333,0.94832194,0.9484441,0.9434618,0.94335556,0.94174254,0.9408897,0.940646,0.93985647,0.9425548,0.938013,0.93821865,0.9365153,0.93530947,0.9342623,0.93424696,0.9368384,0.9360493,0.9352502,0.93064827,0.9300232,0.92939126,0.92861634,0.93119395,0.9262402,0.92572504,0.925367,0.92808133,0.927335,0.9266174,0.92218864,0.9250078,0.92024827,0.91948265,0.9192433,0.9219681,0.92012954,0.9161716,0.9160188,0.91617745,0.9153649,0.91745454,0.91677105,0.91211027,0.9115354,0.91042495,0.90948665,0.9087278,0.91126484,0.9079527,0.9108889,0.90649396,0.90574497,0.90878534,0.9044784,0.9073095,0.9025519,0.90225285,0.90153617,0.90450543,0.900295,0.90313965,0.89957976,0.89890134,0.8981749,0.9004048,0.8953553,0.8960761,0.893947,0.89410263,0.8930394,0.89338815,0.8927054,0.8912932,0.8899262,0.89366317,0.8930354,0.8881945,0.009556921198964119,0.07224547117948532,0.9322646856307983,0.2468816041946411,0.9410213107725547
ETTh1_VFOGD_PF_10_Loss,38.21144,10.610845,6.262902,5.5826545,5.2580814,5.0224266,4.833385,4.6657434,4.5173907,4.381936,4.2568645,4.14044,4.0327873,3.9280756,3.8314838,3.74,3.6507547,3.5643744,3.4832191,3.406464,3.331078,3.2606277,3.1919816,3.1228318,3.058456,2.9962618,2.936505,2.8809562,2.8243203,2.7707114,2.7189915,2.6691036,2.6196444,2.5725675,2.5282722,2.4867566,2.4441926,2.40725,2.36652,2.330799,2.2954495,2.259927,2.227653,2.1959772,2.167645,2.1386771,2.1102269,2.083498,2.0560102,2.0315633,2.0079396,1.9864813,1.9626023,1.9425033,1.9205916,1.9025748,1.8813163,1.8649938,1.8450111,1.8287632,1.8119199,1.7980766,1.782463,1.7638938,1.7525818,1.734817,1.7220956,1.7074763,1.6944174,1.6819834,1.6691797,1.659323,1.646119,1.6349199,1.6228949,1.6138191,1.6015234,1.5937936,1.5804623,1.5735049,1.5602258,1.551599,1.5446001,1.535542,1.5264322,1.5149723,1.5056729,1.4978014,1.4898902,1.4806501,1.4736718,1.4653496,1.4570249,1.4518646,1.4419794,1.4379927,1.4297124,1.4209013,1.4143652,1.4064468,1.4000111,1.3939742,1.3897614,1.3799474,1.3769789,1.3707653,1.3645558,1.3562088,1.3508961,1.3451507,1.3408977,1.3334717,1.3269185,1.3207289,1.3156948,1.3100425,1.3053265,1.3000643,1.2947294,1.289698,1.2863246,1.2791022,1.2765455,1.2693739,1.2645516,1.262084,1.2581776,1.2502642,1.2463876,1.2420098,1.239362,1.2329117,1.2288374,1.2264535,1.2202917,1.215979,1.2114726,1.2073469,1.2047011,1.2023638,1.1977553,1.1941512,1.187458,1.1869282,1.1796998,1.1768817,1.1722782,1.1720902,1.1654592,1.1623355,1.1613736,1.1548184,1.1541492,1.1506609,1.147105,1.1412728,1.1407044,1.1361401,1.1315016,1.1282603,1.1281762,1.1223823,1.1184096,1.1159861,1.1129382,1.1121775,1.106675,1.106564,1.1036918,1.0981379,1.0954591,1.0919812,1.0890089,1.0891633,1.0840901,1.0811784,1.0816056,1.0753033,1.0731535,1.0703317,1.0691425,1.0678406,1.0625844,1.06038,1.0602688,1.054676,1.0559362,1.0504949,1.0479171,1.0454304,1.0428841,1.0407472,1.0384866,1.0357428,1.0332416,1.0314621,1.0323327,1.0268134,1.0246838,1.0226784,1.0230104,1.017926,1.0158983,1.0141138,1.0145341,1.0099554,1.0088906,1.0054559,1.0048554,1.0012684,1.0022786,0.9974832,0.9967699,0.99630004,0.9917701,0.99303335,0.99051636,0.98933095,0.98398554,0.98195493,0.9836443,0.97785044,0.9768047,0.9759865,0.97288805,0.97455615,0.9728535,0.9677385,0.96558166,0.9635235,0.9621737,0.9641354,0.95904326,0.96076924,0.95551115,0.95404744,0.951974,0.95191294,0.9526015,0.9475741,0.949362,0.94364387,0.9427061,0.94075483,0.9430274,0.9376793,0.9362646,0.9346681,0.93332195,0.9315577,0.92968917,0.9324809,0.93098664,0.9253492,0.92418045,0.9265899,0.9212585,0.9201793,0.92233765,0.9172442,0.91590685,0.91384697,0.91682845,0.915385,0.91013926,0.9102597,0.90764797,0.906181,0.90863395,0.90362924,0.90607625,0.9004428,0.89953136,0.90133035,0.89837927,0.89568466,0.8944141,0.8970292,0.892109,0.8909293,0.88934046,0.8883628,0.886814,0.8852045,0.884702,0.8836065,0.8860027,0.8804462,0.8796858,0.8788577,0.87732166,0.8793253,0.8749713,0.8779505,0.87301904,0.87296546,0.87078995,0.8707887,0.8683842,0.87113506,0.8662626,0.8649184,0.86343133,0.8641132,0.86189276,0.8604935,0.8609111,0.8626157,0.86063284,0.85954994,0.8555235,0.85466003,0.85343575,0.8522038,0.85263306,0.85428655,0.8492391,0.84836257,0.84718376,0.84621453,0.84514236,0.84382516,0.84352934,0.841879,0.8415183,0.8403638,0.83980846,0.83849484,0.8375474,0.8369955,0.8370223,0.83890474,0.83375746,0.8329065,0.8319032,0.83109695,0.8301139,0.8293012,0.8279245,0.8316846,0.82701486,0.82716763,0.82482654,0.82441014,0.82741195,0.8222182,0.82283646,0.8219725,0.8196616,0.8221672,0.82236516,0.8174146,0.82071286,0.81982136,0.8179762,0.8139727,0.81351954,0.81656206,0.8118066,0.8120566,0.8094469,0.81049395,0.8087367,0.8088707,0.8099979,0.8058703,0.80527365,0.8088083,0.80363303,0.8072437,0.80644476,0.80570734,0.800637,0.8001481,0.79908293,0.79892325,0.7976326,0.79717135,0.80059105,0.79600406,0.79475445,0.7940056,0.79383725,0.7928632,0.7915077,0.7912619,0.79106385,0.7901541,0.792329,0.78886706,0.7877492,0.7915007,0.7878458,0.7863097,0.7851022,0.7848367,0.7850891,0.7830085,0.78236526,0.7820565,0.78059155,0.78065264,0.7799875,0.7794773,0.7781256,0.7782061,0.7816448,0.78101045,0.78040963,0.7753476,0.77507675,0.77855474,0.7730586,0.772958,0.7723342,0.7719921,0.7723892,0.7707043,0.769841,0.76970935,0.7689343,0.7676298,0.77180326,0.77120817,0.77063376,0.76575047,0.7650336,0.76500744,0.7639196,0.76337695,0.76287687,0.7635602,0.76169175,0.7616409,0.7618895,0.76126605,0.7638229,0.758912,0.7613624,0.7576125,0.7616187,0.7566246,0.7574368,0.75565356,0.75533664,0.7540346,0.75830233,0.7537844,0.7573287,0.75254726,0.7519162,0.7516747,0.75134355,0.74984646,0.7493283,0.75059634,0.7487398,0.7478242,0.7472979,0.7471271,0.7497163,0.7475157,0.7501011,0.7448021,0.7477174,0.744154,0.7442588,0.74624336,0.7457468,0.74665487,0.74185807,0.74564534,0.7410159,0.74037015,0.7404154,0.739657,0.7384988,0.73973405,0.73832554,0.7419242,0.7400239,0.73653686,0.73618954,0.7358496,0.7352258,0.73909223,0.7342556,0.733881,0.7334413,0.7329164,0.73553467,0.7324055,0.734576,0.73124623,0.73515016,0.73053646,0.73286766,0.7290264,0.7319806,0.7315744,0.00743141071870923,0.06166825070977211,0.28966549038887024,0.21779850125312805,0.9541384853644058
ETTh1_VFOGD_PF_12_Loss,19.289043,9.584387,4.189206,3.622046,3.2772899,3.0012062,2.7545714,2.613511,2.387844,2.2458313,2.2004313,2.1383755,2.4398181,1.9209092,1.84483,1.920567,2.5334291,1.9710268,1.820783,1.5774399,1.5350648,1.5589052,1.6085427,1.4689928,2.0524232,1.511827,1.3426591,1.3356495,2.11639,1.7086807,1.2761108,1.2649775,1.2324628,1.3545458,1.9086696,1.4581796,1.3199178,1.1705053,1.1321844,1.1489226,1.1245831,1.1149036,1.6169224,1.5068524,1.0685081,1.0815475,1.0314289,1.0383506,1.0133395,1.6944864,1.2832363,1.0619042,1.0049249,1.3121566,0.9829274,1.1559746,0.9569224,0.9567356,0.9362385,0.9521138,1.0642314,0.9773438,0.9036914,0.9013221,0.90827173,1.0275676,0.88890684,0.88522923,0.9873573,0.86006397,0.88299257,0.9965246,0.95102173,0.95475274,0.83388597,1.8843805,0.85163915,1.068723,0.86844605,0.8229878,1.1198243,0.82014704,0.86319417,0.8089883,0.8022713,0.9545384,1.0920274,1.084121,0.8637837,0.9183304,0.8106612,0.8121212,0.77489287,0.8417875,1.1707236,0.82076085,0.9821031,1.1665314,0.89207226,0.8275093,0.8140735,0.7539843,1.3560053,0.76848656,0.8068771,0.75125664,0.76820815,0.75453335,0.7363901,0.733544,1.1648142,0.79783756,0.7555095,0.8531721,1.1279737,0.85459375,0.75571615,0.7310551,0.89176404,0.71963555,0.7147255,0.7121777,0.94406176,0.75320995,0.8570028,1.4324739,0.73149383,0.9663309,0.8547843,0.7094647,0.714385,0.8796868,0.7466263,0.8117204,0.7229445,0.9214813,0.73386115,0.78289044,0.6968125,0.6909976,0.98568314,0.69151527,0.7089556,0.6911486,1.0125996,0.75509745,0.70947224,0.75563294,0.68158466,0.6814447,0.7492807,0.76907337,0.9634286,0.7757275,0.6800334,1.1267991,0.6784515,0.99296105,0.6960744,0.7041249,0.6859878,0.8184942,0.6946027,0.69958717,0.6990092,0.66499114,0.67545676,0.8740527,0.6657232,0.66978467,0.6772342,0.65990734,0.71239924,0.7167665,0.9589488,0.7851335,0.6621158,1.0545719,0.6821998,0.6881772,0.6718524,0.6548124,0.69436926,0.9812683,0.66078544,0.6570925,0.6606639,0.8182424,0.7593349,0.7514554,0.6508154,0.6795619,0.6485034,0.76928884,0.9495186,0.6494684,0.7620666,0.6936314,0.8688324,0.7005655,0.6487186,0.67915267,0.65548706,0.6519572,0.71496594,0.67639613,0.72354794,0.7144739,0.6517996,0.7158862,0.63956785,0.6402402,0.6385068,0.646448,0.63686955,0.779879,0.81845486,0.7220729,0.6396114,0.6639314,0.75079334,0.65769947,0.78694344,0.80300206,0.6381733,0.6604663,0.6393631,0.8591416,0.67730856,0.6556453,0.63404083,0.64198244,0.68635374,0.6382248,0.6303183,0.7219,0.65275687,0.6317277,0.63770795,0.6845329,0.67490464,0.6357411,0.7217074,0.6328445,0.66526884,0.6322428,0.7224321,0.8545652,0.63658255,0.6741909,0.6467815,0.63099074,0.6292502,0.63832843,0.6352542,0.85413426,0.7852508,0.64788127,0.6296465,0.6516132,0.62251717,0.70627177,0.9475847,0.8066629,0.6382897,0.6501421,0.66212344,0.6215077,0.62191296,0.62435776,0.80731404,0.6252358,0.65639174,0.7141556,0.7521653,0.6394091,0.6721659,0.64131176,0.7030242,0.63107026,0.6660278,0.7647372,0.6196632,0.64533406,0.6383119,0.6173511,0.6179831,0.6170342,0.6232027,0.72062975,0.73434234,0.66432184,0.65611786,0.8113272,0.6322612,0.63222843,0.6237414,0.7357656,0.8293046,0.66908574,0.64400095,0.6336507,0.62086415,0.62031585,0.75845635,0.6172512,0.6253309,0.7055747,0.7996262,0.63679326,0.63456464,0.6161795,0.6776058,0.6338774,0.64637655,0.6159461,0.6982272,0.693673,0.64798534,0.6531104,0.68691885,0.62247986,0.63087267,0.8197525,0.79138285,0.8516958,0.7414542,0.620006,0.68293524,0.7229543,0.6786808,0.62651646,0.6160069,0.707284,0.6213247,0.7744818,0.6147904,0.63452995,0.65330374,0.66481155,0.64049935,0.61256063,0.6501293,0.61217105,0.61563605,0.6305721,0.6326369,0.63367337,0.66946614,0.6853748,0.62333965,0.6174031,0.6176024,0.6944832,0.60884786,0.6143673,0.6295806,0.61243063,0.6219714,0.6255229,0.6080523,0.60813487,0.67342037,0.650644,0.6628122,0.7100268,0.66632074,0.6488312,0.7193547,0.64584875,0.611127,0.7549862,0.71675444,0.62502265,0.6166542,0.6116213,0.68789685,0.7330195,0.7362967,0.6070197,0.61318856,0.6808323,0.6075637,0.6074427,0.60629994,0.6800435,0.660167,0.60672927,0.6393703,0.6089859,0.65418553,0.61153644,0.6044059,0.6120312,0.6071616,0.63075674,0.67048055,0.6040274,0.6100217,0.60347414,0.69018865,0.63905466,0.83937925,0.63280934,0.6098328,0.6038838,0.6087352,0.6675905,0.610871,0.61000943,0.694867,0.61449635,0.7575015,0.61712295,0.60369956,0.60342777,0.62858665,0.60350937,0.65840966,0.6945685,0.61080045,0.6221523,0.60961294,0.70260036,0.6586349,0.610206,0.6046906,0.63564837,0.67178696,0.6731412,0.6140924,0.6157109,0.6014675,0.61069447,0.6005995,0.6652817,0.60198945,0.6066051,0.6164593,0.6790757,0.60088056,0.7544755,0.63852197,0.6080993,0.60500455,0.6013591,0.6003638,0.60175145,0.5998776,0.60174036,0.6559527,0.6002068,0.6006719,0.65103704,0.7246821,0.6231617,0.61236703,0.6110052,0.60003483,0.60284686,0.7018285,0.6149447,0.7267336,0.6004136,0.60555786,0.63773274,0.5996911,0.6024907,0.6669557,0.63661575,0.6050842,0.6012136,0.5995969,0.6704424,0.6935662,0.6766811,0.6346879,0.5997041,0.6018207,0.6752048,0.644919,0.60202265,0.69561446,0.68066263,0.6870232,0.602575,0.60102403,0.6118858,0.6639928,0.65980357,0.61356825,0.64045507,0.6026471,0.7019195,0.6073858,0.61176753,0.5984712,0.64479446,0.59820026,0.6052209,0.0058100055903196335,0.05382563918828964,0.30445969104766846,0.19030913710594177,0.9641446771405362
